host_t_s,dev_t_s,dev_t_us,seq,adc_34,adc_35,v_adc_34,v_adc_35,voltage_gpio,current_gpio,v_offset_est,i_offset_est,v_inst,i_inst,v_rms_raw,i_rms_raw,v_rms,i_rms,v1_mag_raw,i1_mag_raw,v1_mag,i1_mag,v1_angle_deg,i1_angle_deg,vi_angle_deg,fourier_valid,f_est_hz,rms_valid,norm_ready,norm_gain_v,norm_gain_i,auto_scale_calibrate,protection_armed,oc_enabled,oc_i_nominal,oc_51_pickup,oc_50_pickup,oc_51_timer_s,oc_51_active,oc_50_trip,oc_51_trip,oc_trip,oc_trip_code,dist_enabled,dist_line_z_ohm,dist_z1_pct,dist_z2_pct,dist_z1_ohm,dist_z2_ohm,dist_min_current,dist_line_angle_deg,dist_z1_center_r_ohm,dist_z1_center_x_ohm,dist_z1_radius_ohm,dist_z2_center_r_ohm,dist_z2_center_x_ohm,dist_z2_radius_ohm,dist_z_mag_ohm,dist_z_angle_deg,dist_r_ohm,dist_x_ohm,dist_fault_pct,dist_fault_ohm,dist_z1_mho_operate,dist_z2_mho_operate,dist_z1_active,dist_z2_active,dist_z2_timer_s,dist_z1_trip,dist_z2_trip,dist_trip,dist_trip_code,dir67_enabled,dir67_direction,dir67_angle_deg,dir67_window_deg,dir67_measure_angle_deg,dir67_angle_error_deg,dir67_power_w,dir67_prefault_power_w,dir67_power_min_w,dir67_forward,dir67_reverse,dir67_permit,dir67_block_active,uv_enabled,ov_enabled,v_nominal_rms,uv_instant_pickup,uv_timed_pickup,ov_instant_pickup,ov_timed_pickup,uv_pickup,ov_pickup,uv_timer_s,ov_timer_s,uv_active,ov_active,uv_instant_trip,uv_timed_trip,ov_instant_trip,ov_timed_trip,uv_trip,ov_trip,voltage_trip,voltage_trip_code,any_trip,trip_sources,instant_trip,timed_trip,cycle_id,cycle_update,quality_flags,lost_frames_total,bad_checksum_total,desync_total
0.000000000,0.000000000,0,7087,2451,2517,1.975164835,2.028351648,gpio35,gpio34,1.924382325,1.941121789,121538.596220896,403.421083216,307249.679046469,1531.600928533,252394.746591021,1249.866714422,306556.153609487,1528.428569580,251825.039968496,1247.277903075,-80.459280,-86.588588,-6.129308,1,58.820069,1,1,0.821464639,0.816052466,0,1,1,1298.813843000,1428.695227300,1688.457995900,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,0,256245.187500000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,273,1,0,0,0,1003
0.001000000,0.001000000,1000,7088,2532,2677,2.040439560,2.157289377,gpio35,gpio34,1.924615232,1.941221106,271992.623191495,1175.770686451,307249.679046469,1531.600928533,252394.746591021,1249.866714422,306556.153609487,1528.428569580,251825.039968496,1247.277903075,-80.459280,-86.588588,-6.129308,1,58.820069,1,1,0.821464639,0.816052466,0,1,1,1298.813843000,1428.695227300,1688.457995900,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,0,256245.187500000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,273,0,0,0,0,1003
0.002000000,0.002000000,2000,7089,2606,2800,2.100073260,2.256410256,gpio35,gpio34,1.924947027,1.941379959,387475.596597797,1880.566814524,307249.679046469,1531.600928533,252394.746591021,1249.866714422,306556.153609487,1528.428569580,251825.039968496,1247.277903075,-80.459280,-86.588588,-6.129308,1,58.820069,1,1,0.821464639,0.816052466,0,1,1,1298.813843000,1428.695227300,1688.457995900,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,0,256245.187500000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,273,0,0,0,0,1003
0.003000000,0.003000000,3000,7090,2654,2853,2.138754579,2.299120879,gpio35,gpio34,1.925321201,1.941577333,436966.277095208,2336.613965823,307249.679046469,1531.600928533,252394.746591021,1249.866714422,306556.153609487,1528.428569580,251825.039968496,1247.277903075,-80.459280,-86.588588,-6.129308,1,58.820069,1,1,0.821464639,0.816052466,0,1,1,1298.813843000,1428.695227300,1688.457995900,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,0,256245.187500000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,273,0,0,0,0,1003
0.004000000,0.004000000,4000,7091,2668,2888,2.150036630,2.327326007,gpio35,gpio34,1.925723206,1.941785792,469467.715785855,2467.839602974,307249.679046469,1531.600928533,252394.746591021,1249.866714422,306556.153609487,1528.428569580,251825.039968496,1247.277903075,-80.459280,-86.588588,-6.129308,1,58.820069,1,1,0.821464639,0.816052466,0,1,1,1298.813843000,1428.695227300,1688.457995900,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,0,256245.187500000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,273,0,0,0,0,1003
0.005000000,0.005000000,5000,7092,2647,2795,2.133113553,2.252380952,gpio35,gpio34,1.926049863,1.941977120,381476.200584355,2265.028386696,307249.679046469,1531.600928533,252394.746591021,1249.866714422,306556.153609487,1528.428569580,251825.039968496,1247.277903075,-80.459280,-86.588588,-6.129308,1,58.820069,1,1,0.821464639,0.816052466,0,1,1,1298.813843000,1428.695227300,1688.457995900,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,0,256245.187500000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,273,0,0,0,0,1003
0.006000000,0.006000000,6000,7093,2597,2669,2.092820513,2.150842491,gpio35,gpio34,1.926274656,1.942127964,262516.466499899,1785.755318607,307249.679046469,1531.600928533,252394.746591021,1249.866714422,306556.153609487,1528.428569580,251825.039968496,1247.277903075,-80.459280,-86.588588,-6.129308,1,58.820069,1,1,0.821464639,0.816052466,0,1,1,1298.813843000,1428.695227300,1688.457995900,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,0,256245.187500000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,273,0,0,0,0,1003
0.007000000,0.007000000,7000,7094,2502,2511,2.016263736,2.023516484,gpio35,gpio34,1.926371898,1.942202099,113560.579036165,877.654287854,307249.679046469,1531.600928533,252394.746591021,1249.866714422,306556.153609487,1528.428569580,251825.039968496,1247.277903075,-80.459280,-86.588588,-6.129308,1,58.820069,1,1,0.821464639,0.816052466,0,1,1,1298.813843000,1428.695227300,1688.457995900,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,0,256245.187500000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,273,0,0,0,0,1003
0.008000000,0.008000000,8000,7095,2415,2335,1.946153846,1.881684982,gpio35,gpio34,1.926327211,1.942206051,-52186.103666374,46.782644485,307249.679046469,1531.600928533,252394.746591021,1249.866714422,306556.153609487,1528.428569580,251825.039968496,1247.277903075,-80.459280,-86.588588,-6.129308,1,58.820069,1,1,0.821464639,0.816052466,0,1,1,1298.813843000,1428.695227300,1688.457995900,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,0,256245.187500000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,273,0,0,0,0,1003
0.009000000,0.009000000,9000,7096,2342,2170,1.887326007,1.748717949,gpio35,gpio34,1.926149602,1.942151171,-207414.969553491,-649.695876125,307249.679046469,1531.600928533,252394.746591021,1249.866714422,306556.153609487,1528.428569580,251825.039968496,1247.277903075,-80.459280,-86.588588,-6.129308,1,58.820069,1,1,0.821464639,0.816052466,0,1,1,1298.813843000,1428.695227300,1688.457995900,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,0,256245.187500000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,273,0,0,0,0,1003
