host_t_s,dev_t_s,dev_t_us,seq,adc_34,adc_35,v_adc_34,v_adc_35,voltage_gpio,current_gpio,v_offset_est,i_offset_est,v_inst,i_inst,v_rms_raw,i_rms_raw,v_rms,i_rms,v1_mag_raw,i1_mag_raw,v1_mag,i1_mag,v1_angle_deg,i1_angle_deg,vi_angle_deg,fourier_valid,f_est_hz,rms_valid,norm_ready,norm_gain_v,norm_gain_i,auto_scale_calibrate,protection_armed,oc_enabled,oc_i_nominal,oc_51_pickup,oc_50_pickup,oc_51_timer_s,oc_51_active,oc_50_trip,oc_51_trip,oc_trip,oc_trip_code,dist_enabled,dist_line_z_ohm,dist_z1_pct,dist_z2_pct,dist_z1_ohm,dist_z2_ohm,dist_min_current,dist_line_angle_deg,dist_z1_center_r_ohm,dist_z1_center_x_ohm,dist_z1_radius_ohm,dist_z2_center_r_ohm,dist_z2_center_x_ohm,dist_z2_radius_ohm,dist_z_mag_ohm,dist_z_angle_deg,dist_r_ohm,dist_x_ohm,dist_fault_pct,dist_fault_ohm,dist_z1_mho_operate,dist_z2_mho_operate,dist_z1_active,dist_z2_active,dist_z2_timer_s,dist_z1_trip,dist_z2_trip,dist_trip,dist_trip_code,dir67_enabled,dir67_direction,dir67_angle_deg,dir67_window_deg,dir67_measure_angle_deg,dir67_angle_error_deg,dir67_power_w,dir67_prefault_power_w,dir67_power_min_w,dir67_forward,dir67_reverse,dir67_permit,dir67_block_active,uv_enabled,ov_enabled,v_nominal_rms,uv_instant_pickup,uv_timed_pickup,ov_instant_pickup,ov_timed_pickup,uv_pickup,ov_pickup,uv_timer_s,ov_timer_s,uv_active,ov_active,uv_instant_trip,uv_timed_trip,ov_instant_trip,ov_timed_trip,uv_trip,ov_trip,voltage_trip,voltage_trip_code,any_trip,trip_sources,instant_trip,timed_trip,cycle_id,cycle_update,quality_flags,lost_frames_total,bad_checksum_total,desync_total
0.000000000,0.000000000,0,8828,2460,2476,1.982417582,1.995311355,gpio35,gpio34,1.955844864,1.974900235,46136.328309905,89.082991787,321257.937467646,1652.850202058,262180.309190254,1343.248426066,319067.209691767,1635.953205075,260392.444615891,1329.516471062,-80.294833,-85.247953,-4.953120,1,62.503906,1,1,0.816105312,0.812686125,0,1,0,1298.813843000,0.000000000,0.000000000,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,1,256248.437500000,0.000000000,0.000000000,358747.812500000,281873.281250000,0.000000000,281873.281250000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,372,1,0,5635,0,1003
0.001000000,0.001000000,1000,8829,2545,2654,2.050915751,2.138754579,gpio35,gpio34,1.956027774,1.974976251,213607.635058518,899.907576289,321257.937467646,1652.850202058,262180.309190254,1343.248426066,319067.209691767,1635.953205075,260392.444615891,1329.516471062,-80.294833,-85.247953,-4.953120,1,62.503906,1,1,0.816105312,0.812686125,0,1,0,1298.813843000,0.000000000,0.000000000,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,1,256248.437500000,0.000000000,0.000000000,358747.812500000,281873.281250000,0.000000000,281873.281250000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,372,0,0,5635,0,1003
0.002000000,0.002000000,2000,8830,2622,2797,2.112967033,2.253992674,gpio35,gpio34,1.956325739,1.975114241,347972.647423460,1633.600049854,321257.937467646,1652.850202058,262180.309190254,1343.248426066,319067.209691767,1635.953205075,260392.444615891,1329.516471062,-80.294833,-85.247953,-4.953120,1,62.503906,1,1,0.816105312,0.812686125,0,1,0,1298.813843000,0.000000000,0.000000000,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,1,256248.437500000,0.000000000,0.000000000,358747.812500000,281873.281250000,0.000000000,281873.281250000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,372,0,0,5635,0,1003
0.003000000,0.003000000,3000,8831,2679,2898,2.158901099,2.335384615,gpio35,gpio34,1.956704798,1.975298028,442676.707083729,2175.755615065,321257.937467646,1652.850202058,262180.309190254,1343.248426066,319067.209691767,1635.953205075,260392.444615891,1329.516471062,-80.294833,-85.247953,-4.953120,1,62.503906,1,1,0.816105312,0.812686125,0,1,0,1298.813843000,0.000000000,0.000000000,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,1,256248.437500000,0.000000000,0.000000000,358747.812500000,281873.281250000,0.000000000,281873.281250000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,372,0,0,5635,0,1003
0.004000000,0.004000000,4000,8832,2701,2932,2.176630037,2.362783883,gpio35,gpio34,1.957110877,1.975499360,474231.744222799,2383.463396919,321257.937467646,1652.850202058,262180.309190254,1343.248426066,319067.209691767,1635.953205075,260392.444615891,1329.516471062,-80.294833,-85.247953,-4.953120,1,62.503906,1,1,0.816105312,0.812686125,0,1,0,1298.813843000,0.000000000,0.000000000,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,1,256248.437500000,0.000000000,0.000000000,358747.812500000,281873.281250000,0.000000000,281873.281250000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,372,0,0,5635,0,1003
0.005000000,0.005000000,5000,8833,2716,2893,2.188717949,2.331355311,gpio35,gpio34,1.957485121,1.975712579,437054.252478576,2524.182345433,321257.937467646,1652.850202058,262180.309190254,1343.248426066,319067.209691767,1635.953205075,260392.444615891,1329.516471062,-80.294833,-85.247953,-4.953120,1,62.503906,1,1,0.816105312,0.812686125,0,1,0,1298.813843000,0.000000000,0.000000000,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,1,256248.437500000,0.000000000,0.000000000,358747.812500000,281873.281250000,0.000000000,281873.281250000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,372,0,0,5635,0,1003
0.006000000,0.006000000,6000,8834,2670,2792,2.151648352,2.249963370,gpio35,gpio34,1.957777599,1.975888515,341565.165918405,2082.810766561,321257.937467646,1652.850202058,262180.309190254,1343.248426066,319067.209691767,1635.953205075,260392.444615891,1329.516471062,-80.294833,-85.247953,-4.953120,1,62.503906,1,1,0.816105312,0.812686125,0,1,0,1298.813843000,0.000000000,0.000000000,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,1,256248.437500000,0.000000000,0.000000000,358747.812500000,281873.281250000,0.000000000,281873.281250000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,372,0,0,5635,0,1003
0.007000000,0.007000000,7000,8835,2608,2644,2.101684982,2.130695971,gpio35,gpio34,1.957950518,1.976014311,201939.434598641,1489.237986564,321257.937467646,1652.850202058,262180.309190254,1343.248426066,319067.209691767,1635.953205075,260392.444615891,1329.516471062,-80.294833,-85.247953,-4.953120,1,62.503906,1,1,0.816105312,0.812686125,0,1,0,1298.813843000,0.000000000,0.000000000,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,1,256248.437500000,0.000000000,0.000000000,358747.812500000,281873.281250000,0.000000000,281873.281250000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,372,0,0,5635,0,1003
0.008000000,0.008000000,8000,8836,2505,2469,2.018681319,1.989670330,gpio35,gpio34,1.957982237,1.976056978,37043.379779427,505.112186791,321257.937467646,1652.850202058,262180.309190254,1343.248426066,319067.209691767,1635.953205075,260392.444615891,1329.516471062,-80.294833,-85.247953,-4.953120,1,62.503906,1,1,0.816105312,0.812686125,0,1,0,1298.813843000,0.000000000,0.000000000,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,1,256248.437500000,0.000000000,0.000000000,358747.812500000,281873.281250000,0.000000000,281873.281250000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,372,0,0,5635,0,1003
0.009000000,0.009000000,9000,8837,2418,2293,1.948571429,1.847838828,gpio35,gpio34,1.957872094,1.976029492,-128628.888215737,-325.386914478,321257.937467646,1652.850202058,262180.309190254,1343.248426066,319067.209691767,1635.953205075,260392.444615891,1329.516471062,-80.294833,-85.247953,-4.953120,1,62.503906,1,1,0.816105312,0.812686125,0,1,0,1298.813843000,0.000000000,0.000000000,0.000000000,0,0,0,0,NONE,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0.000000000,0,0,0,NONE,0,forward,0.000000,90.000000,0.000000,0.000000,0.000000000,0.000000000,10000.000000000,0,0,0,0,0,1,256248.437500000,0.000000000,0.000000000,358747.812500000,281873.281250000,0.000000000,281873.281250000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,372,0,0,5635,0,1003
