host_t_s,dev_t_s,dev_t_us,seq,adc_34,adc_35,v_adc_34,v_adc_35,voltage_gpio,current_gpio,v_offset_est,i_offset_est,v_inst,i_inst,v_rms_raw,i_rms_raw,v_rms,i_rms,v1_mag_raw,i1_mag_raw,v1_mag,i1_mag,v1_angle_deg,i1_angle_deg,vi_angle_deg,fourier_valid,f_est_hz,rms_valid,norm_ready,norm_gain_v,norm_gain_i,auto_scale_calibrate,protection_armed,oc_enabled,oc_i_nominal,oc_51_pickup,oc_50_pickup,oc_51_timer_s,oc_51_active,oc_50_trip,oc_51_trip,oc_trip,oc_trip_code,dist_enabled,dist_line_z_ohm,dist_z1_pct,dist_z2_pct,dist_z1_ohm,dist_z2_ohm,dist_min_current,dist_line_angle_deg,dist_z1_center_r_ohm,dist_z1_center_x_ohm,dist_z1_radius_ohm,dist_z2_center_r_ohm,dist_z2_center_x_ohm,dist_z2_radius_ohm,dist_z_mag_ohm,dist_z_angle_deg,dist_r_ohm,dist_x_ohm,dist_fault_pct,dist_fault_ohm,dist_z1_mho_operate,dist_z2_mho_operate,dist_z1_active,dist_z2_active,dist_z2_timer_s,dist_z1_trip,dist_z2_trip,dist_trip,dist_trip_code,dir67_enabled,dir67_direction,dir67_angle_deg,dir67_window_deg,dir67_measure_angle_deg,dir67_angle_error_deg,dir67_power_w,dir67_prefault_power_w,dir67_power_min_w,dir67_forward,dir67_reverse,dir67_permit,dir67_block_active,uv_enabled,ov_enabled,v_nominal_rms,uv_instant_pickup,uv_timed_pickup,ov_instant_pickup,ov_timed_pickup,uv_pickup,ov_pickup,uv_timer_s,ov_timer_s,uv_active,ov_active,uv_instant_trip,uv_timed_trip,ov_instant_trip,ov_timed_trip,uv_trip,ov_trip,voltage_trip,voltage_trip_code,any_trip,trip_sources,instant_trip,timed_trip,cycle_id,cycle_update,quality_flags,lost_frames_total,bad_checksum_total,desync_total
0,0,0,0,2481,2537,1.999340659,2.044468864,gpio35,gpio34,1.953982166,1.969519011,106108.25312354,349.215348639,315911.992645622,1591.185847074,256060.006393863,1275.7292357,315116.673061947,1582.326063592,255415.366296552,1268.625926661,-81.615262,-89.096347,-7.481085,1,58.823529,1,1,0.810542215,0.801747475,0,1,0,1283.448319198,0,0,0,0,0,0,0,NONE,1,52.12496,80,120,41.699968,62.549952,64.17241596,86.636,1.223459325,20.814057271,20.849984,1.835188987,31.221085907,31.274976,201.332292624,7.481085,199.618531518,26.213239553,386.249299038,201.332292624,0,0,0,0,0,0,0,0,NONE,1,forward,86.636,60,-7.481085,0,321268408.504866,321268408.504866,10000,1,0,0,0,0,0,257046.158499878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,633,1,0,0,0,0
0.001,0.001,1000,1,2569,2700,2.07025641,2.175824176,gpio35,gpio34,1.954204008,1.969619749,259880.504577344,1178.468303305,315911.992645622,1591.185847074,256060.006393863,1275.7292357,315116.673061947,1582.326063592,255415.366296552,1268.625926661,-81.615262,-89.096347,-7.481085,1,58.823529,1,1,0.810542215,0.801747475,0,1,0,1283.448319198,0,0,0,0,0,0,0,NONE,1,52.12496,80,120,41.699968,62.549952,64.17241596,86.636,1.223459325,20.814057271,20.849984,1.835188987,31.221085907,31.274976,201.332292624,7.481085,199.618531518,26.213239553,386.249299038,201.332292624,0,0,0,0,0,0,0,0,NONE,1,forward,86.636,60,-7.481085,0,321268408.504866,321268408.504866,10000,1,0,0,0,0,0,257046.158499878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,633,0,0,0,0,0
0.002,0.002,2000,2,2648,2828,2.133919414,2.278974359,gpio35,gpio34,1.954528778,1.969784049,380457.618198452,1922.046328537,315911.992645622,1591.185847074,256060.006393863,1275.7292357,315116.673061947,1582.326063592,255415.366296552,1268.625926661,-81.615262,-89.096347,-7.481085,1,58.823529,1,1,0.810542215,0.801747475,0,1,0,1283.448319198,0,0,0,0,0,0,0,NONE,1,52.12496,80,120,41.699968,62.549952,64.17241596,86.636,1.223459325,20.814057271,20.849984,1.835188987,31.221085907,31.274976,201.332292624,7.481085,199.618531518,26.213239553,386.249299038,201.332292624,0,0,0,0,0,0,0,0,NONE,1,forward,86.636,60,-7.481085,0,321268408.504866,321268408.504866,10000,1,0,0,0,0,0,257046.158499878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,633,0,0,0,0,0
0.003,0.003,3000,3,2694,2893,2.170989011,2.331355311,gpio35,gpio34,1.954905605,1.969985253,441439.696659703,2353.779961989,315911.992645622,1591.185847074,256060.006393863,1275.7292357,315116.673061947,1582.326063592,255415.366296552,1268.625926661,-81.615262,-89.096347,-7.481085,1,58.823529,1,1,0.810542215,0.801747475,0,1,0,1283.448319198,0,0,0,0,0,0,0,NONE,1,52.12496,80,120,41.699968,62.549952,64.17241596,86.636,1.223459325,20.814057271,20.849984,1.835188987,31.221085907,31.274976,201.332292624,7.481085,199.618531518,26.213239553,386.249299038,201.332292624,0,0,0,0,0,0,0,0,NONE,1,forward,86.636,60,-7.481085,0,321268408.504866,321268408.504866,10000,1,0,0,0,0,0,257046.158499878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,633,0,0,0,0,0
0.004,0.004,4000,4,2706,2927,2.180659341,2.358754579,gpio35,gpio34,1.955309454,1.970195928,473095.583527679,2464.553750665,315911.992645622,1591.185847074,256060.006393863,1275.7292357,315116.673061947,1582.326063592,255415.366296552,1268.625926661,-81.615262,-89.096347,-7.481085,1,58.823529,1,1,0.810542215,0.801747475,0,1,0,1283.448319198,0,0,0,0,0,0,0,NONE,1,52.12496,80,120,41.699968,62.549952,64.17241596,86.636,1.223459325,20.814057271,20.849984,1.835188987,31.221085907,31.274976,201.332292624,7.481085,199.618531518,26.213239553,386.249299038,201.332292624,0,0,0,0,0,0,0,0,NONE,1,forward,86.636,60,-7.481085,0,321268408.504866,321268408.504866,10000,1,0,0,0,0,0,257046.158499878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,633,0,0,0,0,0
0.005,0.005,5000,5,2686,2856,2.164542125,2.301538462,gpio35,gpio34,1.955655683,1.970390274,405595.71776506,2273.543249184,315911.992645622,1591.185847074,256060.006393863,1275.7292357,315116.673061947,1582.326063592,255415.366296552,1268.625926661,-81.615262,-89.096347,-7.481085,1,58.823529,1,1,0.810542215,0.801747475,0,1,0,1283.448319198,0,0,0,0,0,0,0,NONE,1,52.12496,80,120,41.699968,62.549952,64.17241596,86.636,1.223459325,20.814057271,20.849984,1.835188987,31.221085907,31.274976,201.332292624,7.481085,199.618531518,26.213239553,386.249299038,201.332292624,0,0,0,0,0,0,0,0,NONE,1,forward,86.636,60,-7.481085,0,321268408.504866,321268408.504866,10000,1,0,0,0,0,0,257046.158499878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,633,0,0,0,0,0
0.006,0.006,6000,6,2637,2725,2.125054945,2.195970696,gpio35,gpio34,1.955895998,1.970544938,281521.010871789,1809.332133995,315911.992645622,1591.185847074,256060.006393863,1275.7292357,315116.673061947,1582.326063592,255415.366296552,1268.625926661,-81.615262,-89.096347,-7.481085,1,58.823529,1,1,0.810542215,0.801747475,0,1,0,1283.448319198,0,0,0,0,0,0,0,NONE,1,52.12496,80,120,41.699968,62.549952,64.17241596,86.636,1.223459325,20.814057271,20.849984,1.835188987,31.221085907,31.274976,201.332292624,7.481085,199.618531518,26.213239553,386.249299038,201.332292624,0,0,0,0,0,0,0,0,NONE,1,forward,86.636,60,-7.481085,0,321268408.504866,321268408.504866,10000,1,0,0,0,0,0,257046.158499878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,633,0,0,0,0,0
0.007,0.007,7000,7,2550,2565,2.054945055,2.067032967,gpio35,gpio34,1.956007135,1.970629339,130193.24720381,987.347929233,315911.992645622,1591.185847074,256060.006393863,1275.7292357,315116.673061947,1582.326063592,255415.366296552,1268.625926661,-81.615262,-89.096347,-7.481085,1,58.823529,1,1,0.810542215,0.801747475,0,1,0,1283.448319198,0,0,0,0,0,0,0,NONE,1,52.12496,80,120,41.699968,62.549952,64.17241596,86.636,1.223459325,20.814057271,20.849984,1.835188987,31.221085907,31.274976,201.332292624,7.481085,199.618531518,26.213239553,386.249299038,201.332292624,0,0,0,0,0,0,0,0,NONE,1,forward,86.636,60,-7.481085,0,321268408.504866,321268408.504866,10000,1,0,0,0,0,0,257046.158499878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,633,0,0,0,0,0
0.008,0.008,8000,8,2463,2389,1.984835165,1.925201465,gpio35,gpio34,1.955976329,1.970643544,-36087.812966211,166.185708676,315911.992645622,1591.185847074,256060.006393863,1275.7292357,315116.673061947,1582.326063592,255415.366296552,1268.625926661,-81.615262,-89.096347,-7.481085,1,58.823529,1,1,0.810542215,0.801747475,0,1,0,1283.448319198,0,0,0,0,0,0,0,NONE,1,52.12496,80,120,41.699968,62.549952,64.17241596,86.636,1.223459325,20.814057271,20.849984,1.835188987,31.221085907,31.274976,201.332292624,7.481085,199.618531518,26.213239553,386.249299038,201.332292624,0,0,0,0,0,0,0,0,NONE,1,forward,86.636,60,-7.481085,0,321268408.504866,321268408.504866,10000,1,0,0,0,0,0,257046.158499878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,633,0,0,0,0,0
0.009,0.009,9000,9,2379,2232,1.917142857,1.798681319,gpio35,gpio34,1.955819034,1.970590044,-184265.850760532,-625.873457501,315911.992645622,1591.185847074,256060.006393863,1275.7292357,315116.673061947,1582.326063592,255415.366296552,1268.625926661,-81.615262,-89.096347,-7.481085,1,58.823529,1,1,0.810542215,0.801747475,0,1,0,1283.448319198,0,0,0,0,0,0,0,NONE,1,52.12496,80,120,41.699968,62.549952,64.17241596,86.636,1.223459325,20.814057271,20.849984,1.835188987,31.221085907,31.274976,201.332292624,7.481085,199.618531518,26.213239553,386.249299038,201.332292624,0,0,0,0,0,0,0,0,NONE,1,forward,86.636,60,-7.481085,0,321268408.504866,321268408.504866,10000,1,0,0,0,0,0,257046.158499878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,0,NONE,0,0,633,0,0,0,0,0
