sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI
1,0,0,1655,2233,1510,2082,1.361000,1.816000,0,0
2,500,500,1822,2115,1675,1968,1.496000,1.725000,0,0
3,1000,500,1996,1994,1849,1846,1.637000,1.632000,0,0
4,1500,500,2177,1872,2031,1750,1.778000,1.542000,0,0
5,2000,500,2358,1760,2210,1614,1.926000,1.462000,0,0
6,2500,500,2525,1660,2373,1520,2.051000,1.368000,0,0
7,3000,500,2673,1579,2515,1450,2.162000,1.304000,0,0
8,3500,500,2796,1513,2641,1378,2.269000,1.255000,0,0
9,4000,500,2893,1456,2743,1322,2.349000,1.220000,0,0
10,4500,500,2961,1419,2811,1293,2.406000,1.168000,0,0
11,5000,500,3003,1411,2858,1289,2.438000,1.184000,0,0
12,5500,500,3007,1420,2865,1292,2.445000,1.182000,0,0
13,6000,500,2979,1465,2782,1342,2.424000,1.224000,0,0
14,6500,500,2913,1528,2771,1408,2.370000,1.277000,0,0
15,7000,500,2815,1595,2659,1473,2.287000,1.322000,0,0
16,7500,500,2690,1685,2533,1535,2.193000,1.398000,0,0
17,8000,500,2544,1781,2394,1648,2.070000,1.462000,0,0
18,8500,500,2385,1905,2234,1759,1.944000,1.561000,0,0
19,9000,500,2218,2026,2070,1879,1.809000,1.653000,0,0
20,9500,500,2039,2144,1890,2001,1.680000,1.744000,0,0
21,10000,500,1858,2266,1714,2096,1.527000,1.831000,0,0
22,10500,500,1679,2367,1535,2205,1.376000,1.922000,0,0
23,11000,500,1518,2466,1377,2293,1.250000,2.001000,0,0
24,11500,500,1377,2541,1227,2379,1.137000,2.063000,0,0
25,12000,500,1265,2603,1126,2437,1.035000,2.106000,0,0
26,12500,500,1176,2653,1037,2493,0.979000,2.153000,0,0
27,13000,500,1115,2685,975,2510,0.923000,2.166000,0,0
28,13500,500,1087,2684,944,2511,0.903000,2.162000,0,0
29,14000,500,1094,2662,950,2487,0.915000,2.141000,0,0
30,14500,500,1133,2605,992,2432,0.939000,2.102000,0,0
31,15000,500,1211,2548,1089,2365,1.007000,2.042000,0,0
32,15500,500,1319,2475,1143,2313,1.092000,2.011000,0,0
33,16000,500,1451,2385,1309,2225,1.196000,1.955000,0,0
34,16500,500,1602,2269,1463,2112,1.316000,1.844000,0,0
35,17000,500,1766,2155,1626,2012,1.454000,1.756000,0,0
36,17500,500,1935,2030,1791,1877,1.591000,1.651000,0,0
37,18000,500,2115,1913,1968,1776,1.728000,1.573000,0,0
38,18500,500,2297,1796,2147,1657,1.894000,1.479000,0,0
39,19000,500,2472,1697,2322,1554,2.011000,1.403000,0,0
40,19500,500,2625,1603,2480,1471,2.129000,1.324000,0,0
41,20000,500,2759,1535,2608,1405,2.245000,1.272000,0,0
42,20500,500,2862,1469,2725,1342,2.325000,1.224000,0,0
43,21000,500,2941,1429,2791,1308,2.388000,1.190000,0,0
44,21500,500,2993,1406,2842,1281,2.432000,1.172000,0,0
45,22000,500,3010,1411,2821,1296,2.448000,1.177000,0,0
46,22500,500,2992,1454,2843,1337,2.429000,1.209000,0,0
47,23000,500,2939,1506,2789,1370,2.370000,1.243000,0,0
48,23500,500,2851,1569,2698,1446,2.317000,1.307000,0,0
49,24000,500,2734,1653,2559,1515,2.229000,1.364000,0,0
50,24500,500,2595,1747,2447,1613,2.110000,1.433000,0,0
51,25000,500,2440,1862,2291,1724,1.987000,1.533000,0,0
52,25500,500,2274,1987,2126,1839,1.859000,1.614000,0,0
53,26000,500,2100,2106,1958,1942,1.715000,1.710000,0,0
54,26500,500,1919,2221,1767,2066,1.570000,1.812000,0,0
55,27000,500,1738,2333,1600,2175,1.430000,1.895000,0,0
56,27500,500,1570,2432,1431,2273,1.292000,1.975000,0,0
57,28000,500,1422,2517,1280,2352,1.172000,2.033000,0,0
58,28500,500,1299,2585,1164,2423,1.080000,2.092000,0,0
59,29000,500,1202,2641,1058,2465,0.994000,2.133000,0,0
60,29500,500,1133,2678,992,2503,0.939000,2.156000,0,0
61,30000,500,1092,2687,945,2511,0.906000,2.163000,0,0
62,30500,500,1088,2673,928,2498,0.906000,2.153000,0,0
63,31000,500,1117,2628,975,2460,0.927000,2.120000,0,0
64,31500,500,1181,2573,1040,2399,0.986000,2.070000,0,0
65,32000,500,1278,2505,1135,2339,1.057000,2.020000,0,0
66,32500,500,1404,2416,1264,2244,1.159000,1.955000,0,0
67,33000,500,1550,2312,1412,2161,1.280000,1.882000,0,0
68,33500,500,1709,2194,1573,2047,1.407000,1.791000,0,0
69,34000,500,1877,2069,1735,1923,1.542000,1.699000,0,0
70,34500,500,2055,1951,1910,1807,1.681000,1.596000,0,0
71,35000,500,2236,1835,2096,1691,1.826000,1.504000,0,0
72,35500,500,2415,1728,2263,1595,1.969000,1.426000,0,0
73,36000,500,2576,1631,2438,1493,2.129000,1.347000,0,0
74,36500,500,2718,1558,2555,1424,2.204000,1.293000,0,0
75,37000,500,2830,1488,2677,1355,2.304000,1.230000,0,0
76,37500,500,2919,1442,2762,1311,2.371000,1.197000,0,0
77,38000,500,2978,1408,2834,1285,2.420000,1.174000,0,0
78,38500,500,3008,1415,2863,1295,2.445000,1.180000,0,0
79,39000,500,3001,1435,2855,1311,2.436000,1.191000,0,0
80,39500,500,2962,1488,2813,1360,2.405000,1.237000,0,0
81,40000,500,2884,1547,2736,1423,2.342000,1.292000,0,0
82,40500,500,2776,1622,2625,1502,2.256000,1.350000,0,0
83,41000,500,2644,1712,2491,1589,2.147000,1.421000,0,0
84,41500,500,2492,1826,2339,1692,2.026000,1.504000,0,0
85,42000,500,2330,1942,2181,1780,1.897000,1.589000,0,0
86,42500,500,2161,2069,2011,1919,1.761000,1.690000,0,0
87,43000,500,1980,2182,1835,2031,1.624000,1.779000,0,0
88,43500,500,1798,2298,1665,2137,1.479000,1.862000,0,0
89,44000,500,1623,2400,1474,2237,1.334000,1.939000,0,0
90,44500,500,1470,2494,1357,2327,1.212000,2.019000,0,0
91,45000,500,1336,2557,1199,2383,1.104000,2.068000,0,0
92,45500,500,1233,2621,1101,2452,1.021000,2.114000,0,0
93,46000,500,1154,2668,1008,2498,0.956000,2.154000,0,0
94,46500,500,1102,2689,961,2513,0.915000,2.154000,0,0
95,47000,500,1085,2682,944,2498,0.901000,2.154000,0,0
96,47500,500,1103,2644,959,2467,0.915000,2.124000,0,0
97,48000,500,1155,2589,1011,2412,0.954000,2.084000,0,0
98,48500,500,1242,2526,1079,2351,1.031000,2.035000,0,0
99,49000,500,1360,2446,1219,2259,1.122000,1.967000,0,0
100,49500,500,1499,2351,1356,2176,1.238000,1.887000,0,0
101,50000,500,1654,2235,1513,2078,1.359000,1.823000,0,0
102,50500,500,1820,2112,1679,1966,1.495000,1.723000,0,0
103,51000,500,1995,1990,1847,1846,1.635000,1.624000,0,0
104,51500,500,2176,1872,2025,1742,1.775000,1.541000,0,0
105,52000,500,2357,1763,2207,1616,1.931000,1.453000,0,0
106,52500,500,2524,1662,2371,1520,2.056000,1.366000,0,0
107,53000,500,2672,1578,2532,1439,2.167000,1.297000,0,0
108,53500,500,2795,1511,2640,1378,2.269000,1.261000,0,0
109,54000,500,2892,1454,2741,1325,2.346000,1.208000,0,0
110,54500,500,2961,1420,2805,1300,2.408000,1.173000,0,0
111,55000,500,3003,1408,2851,1285,2.445000,1.177000,0,0
112,55500,500,3007,1420,2861,1289,2.449000,1.184000,0,0
113,56000,500,2979,1467,2827,1338,2.421000,1.221000,0,0
114,56500,500,2915,1526,2765,1399,2.368000,1.272000,0,0
115,57000,500,2816,1592,2645,1478,2.287000,1.327000,0,0
116,57500,500,2691,1681,2537,1535,2.181000,1.401000,0,0
117,58000,500,2545,1785,2390,1649,2.063000,1.482000,0,0
118,58500,500,2386,1901,2233,1750,1.945000,1.549000,0,0
119,59000,500,2218,2026,2071,1877,1.812000,1.650000,0,0
120,59500,500,2040,2140,1897,1994,1.666000,1.744000,0,0
121,60000,500,1859,2264,1711,2112,1.527000,1.832000,0,0
122,60500,500,1680,2369,1535,2210,1.378000,1.920000,0,0
123,61000,500,1519,2466,1376,2295,1.249000,2.000000,0,0
124,61500,500,1378,2546,1237,2382,1.138000,2.063000,0,0
125,62000,500,1266,2603,1120,2447,1.048000,2.097000,0,0
126,62500,500,1176,2653,1035,2496,0.966000,2.153000,0,0
127,63000,500,1116,2680,971,2509,0.925000,2.153000,0,0
128,63500,500,1087,2682,942,2501,0.911000,2.160000,0,0
129,64000,500,1094,2657,953,2459,0.906000,2.141000,0,0
130,64500,500,1133,2607,989,2432,0.941000,2.104000,0,0
131,65000,500,1210,2551,1072,2364,1.004000,2.055000,0,0
132,65500,500,1318,2473,1183,2301,1.087000,1.994000,0,0
133,66000,500,1450,2383,1310,2223,1.194000,1.928000,0,0
134,66500,500,1601,2274,1459,2119,1.319000,1.844000,0,0
135,67000,500,1764,2151,1629,2000,1.452000,1.745000,0,0
136,67500,500,1934,2030,1789,1891,1.587000,1.665000,0,0
137,68000,500,2115,1917,1954,1767,1.730000,1.561000,0,0
138,68500,500,2296,1796,2146,1658,1.870000,1.471000,0,0
139,69000,500,2471,1694,2323,1559,2.015000,1.393000,0,0
140,69500,500,2624,1603,2471,1462,2.130000,1.320000,0,0
141,70000,500,2757,1533,2611,1393,2.242000,1.266000,0,0
142,70500,500,2861,1474,2711,1338,2.323000,1.237000,0,0
143,71000,500,2941,1429,2795,1296,2.390000,1.191000,0,0
144,71500,500,2993,1402,2839,1277,2.432000,1.173000,0,0
145,72000,500,3010,1415,2862,1290,2.441000,1.185000,0,0
146,72500,500,2992,1451,2845,1331,2.429000,1.212000,0,0
147,73000,500,2940,1506,2791,1379,2.395000,1.253000,0,0
148,73500,500,2853,1572,2703,1452,2.317000,1.313000,0,0
149,74000,500,2736,1647,2589,1498,2.228000,1.367000,0,0
150,74500,500,2596,1746,2448,1613,2.080000,1.431000,0,0
151,75000,500,2441,1865,2291,1721,1.985000,1.535000,0,0
152,75500,500,2275,1983,2128,1827,1.856000,1.620000,0,0
153,76000,500,2102,2106,1957,1945,1.727000,1.711000,0,0
154,76500,500,1920,2221,1776,2063,1.573000,1.805000,0,0
155,77000,500,1738,2332,1602,2166,1.431000,1.880000,0,0
156,77500,500,1570,2430,1427,2262,1.289000,1.968000,0,0
157,78000,500,1423,2517,1280,2353,1.173000,2.034000,0,0
158,78500,500,1300,2582,1163,2415,1.087000,2.084000,0,0
159,79000,500,1202,2635,1061,2474,0.995000,2.129000,0,0
160,79500,500,1133,2676,994,2502,0.939000,2.174000,0,0
161,80000,500,1091,2689,949,2510,0.907000,2.155000,0,0
162,80500,500,1088,2673,946,2490,0.903000,2.150000,0,0
163,81000,500,1116,2625,976,2443,0.927000,2.112000,0,0
164,81500,500,1181,2569,1055,2393,0.979000,2.076000,0,0
165,82000,500,1278,2503,1141,2329,1.057000,1.996000,0,0
166,82500,500,1403,2416,1262,2229,1.158000,1.960000,0,0
167,83000,500,1549,2314,1409,2149,1.279000,1.873000,0,0
168,83500,500,1707,2196,1567,2040,1.379000,1.782000,0,0
169,84000,500,1875,2073,1731,1925,1.537000,1.690000,0,0
170,84500,500,2054,1956,1904,1807,1.678000,1.603000,0,0
171,85000,500,2234,2089,2093,1936,1.806000,1.716000,0,0
172,85500,500,2378,1994,2224,1837,1.939000,1.630000,0,0
173,86000,500,2525,2092,2375,1938,2.051000,1.702000,0,0
174,86500,500,2680,2160,2526,2013,2.177000,1.757000,0,0
175,87000,500,2763,2344,2609,2190,2.247000,1.910000,0,0
176,87500,500,2842,2498,2690,2352,2.316000,2.018000,0,0
177,88000,500,2900,2655,2747,2516,2.354000,2.159000,0,0
178,88500,500,2920,2882,2768,2724,2.372000,2.331000,0,0
179,89000,500,2911,3062,2759,2910,2.362000,2.476000,0,0
180,89500,500,2883,3236,2730,3091,2.341000,2.608000,0,0
181,90000,500,2818,3395,2667,3279,2.293000,2.719000,0,0
182,90500,500,2726,3572,2580,3494,2.204000,2.859000,0,0
183,91000,500,2608,3718,2451,3697,2.114000,2.956000,0,0
184,91500,500,2475,3833,2320,3863,2.014000,3.037000,0,0
185,92000,500,2334,3879,2187,3949,1.905000,3.072000,0,0
186,92500,500,2182,3926,2031,4041,1.779000,3.107000,0,0
187,93000,500,2022,3884,1877,3952,1.661000,3.063000,0,0
188,93500,500,1858,3829,1714,3874,1.521000,3.023000,0,0
189,94000,500,1697,3700,1463,3651,1.396000,2.937000,0,0
190,94500,500,1556,3581,1415,3477,1.288000,2.841000,0,0
191,95000,500,1432,3388,1291,3239,1.185000,2.698000,0,0
192,95500,500,1331,3195,1193,3031,1.105000,2.562000,0,0
193,96000,500,1253,2952,1109,2781,1.033000,2.387000,0,0
194,96500,500,1195,2721,1051,2544,0.991000,2.189000,0,0
195,97000,500,1174,2451,1035,2269,0.975000,1.977000,0,0
196,97500,500,1184,2205,1042,2032,0.985000,1.783000,0,0
197,98000,500,1218,2030,1080,1871,1.008000,1.650000,0,0
198,98500,500,1289,1874,1152,1719,1.068000,1.521000,0,0
199,99000,500,1399,1687,1255,1535,1.155000,1.379000,0,0
200,99500,500,1528,1517,1391,1377,1.256000,1.248000,0,0
201,100000,500,1668,1402,1526,1264,1.371000,1.159000,0,0
202,100500,500,1814,1361,1680,1228,1.491000,1.135000,0,0
203,101000,500,1967,1329,1822,1184,1.623000,1.094000,0,0
204,101500,500,2136,1326,1985,1181,1.740000,1.100000,0,0
205,102000,500,2306,1379,2158,1243,1.881000,1.144000,0,0
206,102500,500,2464,1499,2313,1360,2.001000,1.234000,0,0
207,103000,500,2598,1640,2443,1503,2.110000,1.354000,0,0
208,103500,500,2711,1778,2557,1614,2.200000,1.456000,0,0
209,104000,500,2815,1885,2665,1741,2.286000,1.537000,0,0
210,104500,500,2885,2064,2736,1927,2.345000,1.693000,0,0
211,105000,500,2927,2305,2768,2162,2.381000,1.889000,0,0
212,105500,500,2932,2530,2782,2382,2.389000,2.064000,0,0
213,106000,500,2910,2718,2757,2559,2.365000,2.204000,0,0
214,106500,500,2859,2894,2710,2729,2.334000,2.346000,0,0
215,107000,500,2778,3100,2624,2944,2.256000,2.497000,0,0
216,107500,500,2667,3266,2513,3117,2.165000,2.623000,0,0
217,108000,500,2534,3393,2384,3259,2.060000,2.708000,0,0
218,108500,500,2391,3470,2242,3347,1.947000,2.768000,0,0
219,109000,500,2245,3522,2095,3422,1.831000,2.809000,0,0
220,109500,500,2088,3534,1937,3427,1.703000,2.813000,0,0
221,110000,500,1918,3495,1775,3351,1.569000,2.777000,0,0
222,110500,500,1746,3413,1603,3260,1.464000,2.715000,0,0
223,111000,500,1594,3289,1455,3120,1.315000,2.630000,0,0
224,111500,500,1466,3125,1329,2958,1.211000,2.504000,0,0
225,112000,500,1364,2934,1215,2762,1.126000,2.370000,0,0
226,112500,500,1276,2712,1136,2530,1.070000,2.176000,0,0
227,113000,500,1209,2487,1072,2339,1.006000,2.013000,0,0
228,113500,500,1171,2248,1023,2098,0.973000,1.819000,0,0
229,114000,500,1167,2046,1020,1889,0.965000,1.672000,0,0
230,114500,500,1197,1847,1059,1697,0.998000,1.510000,0,0
231,115000,500,1263,1645,1120,1495,1.049000,1.341000,0,0
232,115500,500,1354,1451,1216,1296,1.135000,1.190000,0,0
233,116000,500,1473,1293,1329,1150,1.213000,1.071000,0,0
234,116500,500,1607,1174,1456,1040,1.323000,0.979000,0,0
235,117000,500,1753,1086,1616,937,1.444000,0.903000,0,0
236,117500,500,1907,1027,1763,895,1.562000,0.858000,0,0
237,118000,500,2073,1027,1926,894,1.694000,0.863000,0,0
238,118500,500,2242,1072,2096,939,1.831000,0.907000,0,0
239,119000,500,2406,1165,2256,1046,1.960000,0.985000,0,0
240,119500,500,2547,1292,2397,1162,2.076000,1.072000,0,0
241,120000,500,2671,1454,2515,1305,2.246000,1.205000,0,0
242,120500,500,2771,1642,2622,1509,2.255000,1.355000,0,0
243,121000,500,2858,1824,2721,1680,2.322000,1.492000,0,0
244,121500,500,2918,2005,2768,1869,2.369000,1.654000,0,0
245,122000,500,2939,2217,2789,2064,2.386000,1.820000,0,0
246,122500,500,2924,2451,2774,2309,2.377000,1.995000,0,0
247,123000,500,2881,2675,2731,2522,2.342000,2.166000,0,0
248,123500,500,2809,2848,2662,2691,2.290000,2.306000,0,0
249,124000,500,2712,3009,2581,2852,2.199000,2.439000,0,0
250,124500,500,2587,3171,2435,3022,2.105000,2.560000,0,0
251,125000,500,2447,3304,2299,3159,1.993000,2.655000,0,0
252,125500,500,2298,3370,2150,3222,1.871000,2.692000,0,0
253,126000,500,2143,3389,2000,3239,1.748000,2.704000,0,0
254,126500,500,1979,3373,1793,3222,1.617000,2.701000,0,0
255,127000,500,1812,3318,1670,3154,1.496000,2.653000,0,0
256,127500,500,1650,3218,1503,3061,1.355000,2.582000,0,0
257,128000,500,1509,3066,1377,2873,1.247000,2.455000,0,0
258,128500,500,1394,2884,1251,2702,1.150000,2.322000,0,0
259,129000,500,1302,2685,1163,2509,1.077000,2.166000,0,0
260,129500,500,1230,2475,1098,2308,1.015000,2.004000,0,0
261,130000,500,1181,2244,1040,2096,0.978000,1.823000,0,0
262,130500,500,1163,2031,1072,1870,0.960000,1.650000,0,0
263,131000,500,1181,1810,1035,1661,0.980000,1.474000,0,0
264,131500,500,1237,1610,1095,1453,1.029000,1.319000,0,0
265,132000,500,1322,1410,1177,1255,1.093000,1.160000,0,0
266,132500,500,1430,1243,1289,1104,1.180000,1.031000,0,0
267,133000,500,1558,1111,1419,955,1.289000,0.910000,0,0
268,133500,500,1699,1011,1559,878,1.396000,0.844000,0,0
269,134000,500,1852,936,1712,803,1.521000,0.786000,0,0
270,134500,500,2015,916,1871,779,1.654000,0.770000,0,0
271,135000,500,2182,945,2032,813,1.781000,0.795000,0,0
272,135500,500,2348,1025,2195,911,1.914000,0.874000,0,0
273,136000,500,2497,1134,2345,991,2.033000,0.945000,0,0
274,136500,500,2631,1290,2478,1166,2.139000,1.079000,0,0
275,137000,500,2740,1469,2587,1339,2.229000,1.212000,0,0
276,137500,500,2818,1760,2667,1628,2.286000,1.447000,0,0
277,138000,500,2886,1985,2736,1841,2.345000,1.624000,0,0
278,138500,500,2747,2035,2603,1873,2.233000,1.661000,0,0
279,139000,500,2431,2035,2282,1888,1.982000,1.663000,0,0
280,139500,500,1993,2033,1850,1879,1.629000,1.657000,0,0
281,140000,500,1594,2033,1451,1882,1.313000,1.661000,0,0
282,140500,500,1506,2035,1362,1889,1.240000,1.669000,0,0
283,141000,500,1674,2033,1531,1871,1.378000,1.664000,0,0
284,141500,500,1984,2035,1842,1892,1.623000,1.669000,0,0
285,142000,500,2205,2030,2064,1877,1.799000,1.650000,0,0
286,142500,500,2191,2031,2041,1872,1.779000,1.655000,0,0
287,143000,500,2113,2031,1967,1875,1.727000,1.656000,0,0
288,143500,500,2030,2035,1887,1872,1.662000,1.652000,0,0
289,144000,500,2009,2037,1867,1882,1.642000,1.661000,0,0
290,144500,500,2022,2037,1877,1885,1.652000,1.661000,0,0
291,145000,500,1954,2037,1808,1879,1.599000,1.653000,0,0
292,145500,500,1902,2037,1757,1881,1.558000,1.657000,0,0
293,146000,500,1897,2035,1748,1870,1.555000,1.650000,0,0
294,146500,500,1994,2042,1852,1888,1.629000,1.656000,0,0
295,147000,500,2141,2039,1989,1898,1.749000,1.665000,0,0
296,147500,500,2208,2040,2061,1897,1.804000,1.668000,0,0
297,148000,500,2211,2039,2071,1901,1.806000,1.654000,0,0
298,148500,500,2158,2039,2010,1904,1.758000,1.676000,0,0
299,149000,500,2138,2035,1986,1904,1.743000,1.672000,0,0
300,149500,500,2166,2039,2021,1892,1.767000,1.660000,0,0
301,150000,500,2181,2040,2031,1889,1.779000,1.665000,0,0
302,150500,500,2205,2042,2059,1892,1.800000,1.662000,0,0
303,151000,500,2196,2037,2046,1883,1.794000,1.663000,0,0
304,151500,500,2196,2037,2046,1875,1.785000,1.674000,0,0
305,152000,500,2213,2040,2065,1893,1.808000,1.672000,0,0
306,152500,500,2208,2039,2067,1889,1.805000,1.663000,0,0
307,153000,500,2208,2042,2064,1889,1.807000,1.665000,0,0
308,153500,500,2187,2035,2036,1907,1.784000,1.666000,0,0
309,154000,500,2184,2037,2030,1889,1.779000,1.674000,0,0
310,154500,500,2192,2037,2042,1881,1.790000,1.660000,0,0
311,155000,500,2178,2042,2032,1888,1.777000,1.667000,0,0
312,155500,500,2162,2035,2013,1879,1.764000,1.661000,0,0
313,156000,500,2122,2033,1973,1887,1.731000,1.657000,0,0
314,156500,500,2104,2031,1959,1878,1.702000,1.659000,0,0
315,157000,500,2100,2031,1957,1868,1.719000,1.660000,0,0
316,157500,500,2088,2033,1938,1882,1.704000,1.658000,0,0
317,158000,500,2074,2037,1925,1904,1.693000,1.665000,0,0
318,158500,500,2042,2033,1899,1887,1.674000,1.665000,0,0
319,159000,500,2022,2033,1875,1885,1.651000,1.664000,0,0
320,159500,500,2016,2035,1874,1898,1.650000,1.652000,0,0
321,160000,500,2010,2031,1870,1879,1.645000,1.653000,0,0
322,160500,500,2009,2035,1863,1889,1.646000,1.658000,0,0
323,161000,500,1990,2030,1840,1872,1.625000,1.651000,0,0
324,161500,500,1989,2039,1838,1889,1.651000,1.659000,0,0
325,162000,500,1995,2035,1851,1889,1.645000,1.664000,0,0
326,162500,500,2006,2037,1858,1872,1.643000,1.667000,0,0
327,163000,500,2018,2040,1871,1883,1.649000,1.653000,0,0
328,163500,500,2010,2039,1866,1904,1.643000,1.671000,0,0
329,164000,500,2004,2039,1861,1894,1.639000,1.672000,0,0
330,164500,500,2000,2040,1857,1897,1.632000,1.670000,0,0
331,165000,500,2000,2037,1856,1872,1.639000,1.675000,0,0
332,165500,500,2004,2040,1862,1883,1.650000,1.656000,0,0
333,166000,500,1992,2035,1850,1883,1.629000,1.656000,0,0
334,166500,500,1986,2042,1838,1885,1.628000,1.666000,0,0
335,167000,500,1980,2040,1831,1886,1.623000,1.665000,0,0
336,167500,500,1985,2046,1839,1904,1.627000,1.659000,0,0
337,168000,500,1993,2040,1843,1904,1.626000,1.668000,0,0
338,168500,500,1991,2046,1845,1891,1.628000,1.669000,0,0
339,169000,500,1993,2039,1844,1891,1.630000,1.673000,0,0
340,169500,500,1997,2037,1856,1889,1.627000,1.658000,0,0
341,170000,500,2013,2039,1866,1898,1.650000,1.657000,0,0
342,170500,500,2033,2042,1886,1888,1.654000,1.674000,0,0
343,171000,500,2038,2039,1893,1899,1.676000,1.653000,0,0
344,171500,500,2041,2037,1894,1890,1.666000,1.658000,0,0
345,172000,500,2043,2037,1897,1883,1.666000,1.659000,0,0
346,172500,500,2060,2033,1918,1874,1.677000,1.660000,0,0
347,173000,500,2086,2039,1939,1879,1.706000,1.662000,0,0
348,173500,500,2108,2033,1967,1897,1.717000,1.650000,0,0
349,174000,500,2129,2039,1984,1895,1.703000,1.665000,0,0
350,174500,500,2142,2033,1995,1883,1.748000,1.662000,0,0
351,175000,500,2158,2039,2006,1887,1.759000,1.673000,0,0
352,175500,500,2175,2031,2032,1890,1.777000,1.653000,0,0
353,176000,500,2184,2033,2036,1878,1.788000,1.674000,0,0
354,176500,500,2194,2037,2047,1891,1.781000,1.651000,0,0
355,177000,500,2194,2037,2043,1887,1.788000,1.663000,0,0
356,177500,500,2193,2031,2043,1881,1.788000,1.653000,0,0
357,178000,500,2185,2037,2032,1886,1.783000,1.664000,0,0
358,178500,500,2169,2035,2018,1889,1.788000,1.665000,0,0
359,179000,500,2153,2042,2003,1885,1.758000,1.664000,0,0
360,179500,500,2129,2033,1984,1872,1.742000,1.653000,0,0
361,180000,500,2112,2035,1963,1881,1.727000,1.662000,0,0
362,180500,500,2093,2037,1951,1888,1.713000,1.668000,0,0
363,181000,500,2072,2037,1920,1885,1.693000,1.653000,0,0
364,181500,500,2048,2040,1904,1895,1.676000,1.665000,0,0
365,182000,500,2016,2040,1870,1895,1.647000,1.661000,0,0
366,182500,500,1982,2037,1838,1885,1.624000,1.667000,0,0
367,183000,500,1950,2042,1807,1899,1.599000,1.666000,0,0
368,183500,500,1923,2040,1776,1905,1.574000,1.676000,0,0
369,184000,500,1905,2044,1762,1891,1.568000,1.663000,0,0
370,184500,500,1881,2044,1731,1890,1.545000,1.661000,0,0
371,185000,500,1861,2040,1717,1879,1.527000,1.662000,0,0
372,185500,500,1845,2039,1701,1885,1.516000,1.654000,0,0
373,186000,500,1843,2039,1705,1902,1.510000,1.664000,0,0
374,186500,500,1853,2040,1707,1889,1.527000,1.664000,0,0
375,187000,500,1863,2037,1716,1887,1.527000,1.662000,0,0
376,187500,500,1872,2040,1728,1899,1.536000,1.664000,0,0
377,188000,500,1880,2037,1739,1882,1.539000,1.669000,0,0
378,188500,500,1896,2037,1754,1889,1.549000,1.661000,0,0
379,189000,500,1925,2040,1776,1901,1.574000,1.676000,0,0
380,189500,500,1952,2030,1806,1873,1.599000,1.654000,0,0
381,190000,500,1980,2035,1837,1872,1.622000,1.652000,0,0
382,190500,500,2004,2031,1856,1882,1.637000,1.653000,0,0
383,191000,500,2037,2037,1892,1881,1.659000,1.664000,0,0
384,191500,500,2078,2031,1932,1869,1.696000,1.663000,0,0
385,192000,500,2112,2035,1966,1885,1.727000,1.661000,0,0
386,192500,500,2141,2037,1986,1894,1.740000,1.661000,0,0
387,193000,500,2166,2035,2019,1894,1.767000,1.661000,0,0
388,193500,500,2195,2035,2055,1896,1.788000,1.663000,0,0
389,194000,500,2224,2037,2077,1904,1.817000,1.674000,0,0
390,194500,500,2239,2037,2096,1898,1.827000,1.669000,0,0
391,195000,500,2245,2042,2098,1890,1.831000,1.665000,0,0
392,195500,500,2241,2039,2093,1887,1.830000,1.654000,0,0
393,196000,500,2241,2039,2097,1894,1.830000,1.662000,0,0
394,196500,500,2241,2040,2097,1893,1.831000,1.658000,0,0
395,197000,500,2229,2042,2084,1883,1.819000,1.665000,0,0
396,197500,500,2208,2042,2063,1899,1.804000,1.672000,0,0
397,198000,500,2179,2037,2030,1887,1.779000,1.662000,0,0
398,198500,500,2151,2042,1986,1898,1.754000,1.675000,0,0
399,199000,500,2122,2042,1975,1903,1.733000,1.670000,0,0
400,199500,500,2087,2042,1941,1886,1.704000,1.678000,0,0
401,200000,500,2046,2044,1898,1895,1.674000,1.670000,0,0
402,200500,500,2006,2039,1863,1883,1.640000,1.659000,0,0
403,201000,500,1971,2039,1830,1882,1.649000,1.657000,0,0
404,201500,500,1938,2039,1792,1887,1.585000,1.657000,0,0
405,202000,500,1899,2037,1757,1873,1.561000,1.654000,0,0
406,202500,500,1867,2040,1725,1874,1.534000,1.656000,0,0
407,203000,500,1844,2033,1703,1879,1.514000,1.662000,0,0
408,203500,500,1834,2039,1691,1894,1.498000,1.662000,0,0
409,204000,500,1827,2039,1682,1897,1.499000,1.667000,0,0
410,204500,500,1815,2035,1677,1893,1.460000,1.658000,0,0
411,205000,500,1809,2040,1665,1872,1.488000,1.650000,0,0
