sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI
1,500,500,1655,2233,1491,2085,1.343000,1.820000,0,0
2,1000,500,1822,2115,1663,1961,1.481000,1.720000,0,0
3,1500,500,1996,1994,1835,1839,1.620000,1.624000,0,0
4,2000,500,2177,1872,2012,1715,1.763000,1.525000,0,0
5,2500,500,2358,1760,2193,1610,1.908000,1.435000,0,0
6,3000,500,2525,1660,2357,1503,2.041000,1.354000,0,0
7,3500,500,2673,1579,2503,1423,2.159000,1.289000,0,0
8,4000,500,2796,1513,2629,1358,2.258000,1.237000,0,0
9,4500,500,2893,1456,2726,1297,2.339000,1.188000,0,0
10,5000,500,2961,1419,2797,1262,2.398000,1.160000,0,0
11,5500,500,3003,1411,2837,1254,2.428000,1.151000,0,0
12,6000,500,3007,1420,2842,1264,2.433000,1.160000,0,0
13,6500,500,2979,1465,2815,1309,2.410000,1.197000,0,0
14,7000,500,2913,1528,2749,1370,2.356000,1.247000,0,0
15,7500,500,2815,1595,2647,1438,2.275000,1.301000,0,0
16,8000,500,2690,1685,2518,1529,2.173000,1.372000,0,0
17,8500,500,2544,1781,2381,1625,2.058000,1.453000,0,0
18,9000,500,2385,1905,2223,1750,1.931000,1.552000,0,0
19,9500,500,2218,2026,2060,1872,1.799000,1.650000,0,0
20,10000,500,2039,2144,1872,1985,1.652000,1.741000,0,0
21,10500,500,1858,2266,1701,2112,1.508000,1.843000,0,0
22,11000,500,1679,2367,1518,2209,1.365000,1.922000,0,0
23,11500,500,1518,2466,1358,2310,1.226000,2.002000,0,0
24,12000,500,1377,2541,1215,2384,1.122000,2.063000,0,0
25,12500,500,1265,2603,1105,2447,1.035000,2.112000,0,0
26,13000,500,1176,2653,1008,2495,0.956000,2.153000,0,0
27,13500,500,1115,2685,948,2527,0.910000,2.178000,0,0
28,14000,500,1087,2684,919,2526,0.883000,2.175000,0,0
29,14500,500,1094,2662,928,2505,0.890000,2.161000,0,0
30,15000,500,1133,2605,970,2448,0.918000,2.114000,0,0
31,15500,500,1211,2548,1050,2389,0.985000,2.068000,0,0
32,16000,500,1319,2475,1155,2319,1.073000,2.009000,0,0
33,16500,500,1451,2385,1290,2229,1.181000,1.935000,0,0
34,17000,500,1602,2269,1440,2114,1.303000,1.845000,0,0
35,17500,500,1766,2155,1607,1999,1.436000,1.753000,0,0
36,18000,500,1935,2030,1775,1873,1.580000,1.650000,0,0
37,18500,500,2115,1913,1955,1760,1.714000,1.559000,0,0
38,19000,500,2297,1796,2133,1642,1.859000,1.465000,0,0
39,19500,500,2472,1697,2307,1535,1.998000,1.379000,0,0
40,20000,500,2625,1603,2460,1447,2.121000,1.309000,0,0
41,20500,500,2759,1535,2597,1378,2.233000,1.252000,0,0
42,21000,500,2862,1469,2698,1312,2.315000,1.199000,0,0
43,21500,500,2941,1429,2775,1271,2.378000,1.169000,0,0
44,22000,500,2993,1406,2832,1248,2.423000,1.147000,0,0
45,22500,500,3010,1411,2847,1252,2.436000,1.152000,0,0
46,23000,500,2992,1454,2827,1296,2.421000,1.186000,0,0
47,23500,500,2939,1506,2771,1347,2.374000,1.229000,0,0
48,24000,500,2851,1569,2687,1409,2.304000,1.279000,0,0
49,24500,500,2734,1653,2559,1498,2.204000,1.346000,0,0
50,25000,500,2595,1747,2431,1597,2.097000,1.426000,0,0
