sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI,state
0,0,0,1655,2233,1465,2085,1.346000,1.821000,0,0,LOOP
1,500,500,1822,2115,1657,1967,1.470000,1.727000,0,0,LOOP
2,1000,500,1996,1994,1822,1841,1.607000,1.625000,0,0,LOOP
3,1500,500,2177,1872,1989,1725,1.744000,1.532000,0,0,LOOP
4,2000,500,2358,1760,2160,1612,1.881000,1.439000,0,0,LOOP
5,2500,500,2525,1660,2318,1522,2.004000,1.365000,0,0,LOOP
6,3000,500,2673,1579,2451,1421,2.115000,1.281000,0,0,LOOP
7,3500,500,2796,1513,2559,1363,2.204000,1.237000,0,0,LOOP
8,4000,500,2893,1456,2668,1300,2.287000,1.189000,0,0,LOOP
9,4500,500,2961,1419,2736,1278,2.339000,1.158000,0,0,LOOP
10,5000,500,3003,1411,2774,1253,2.375000,1.148000,0,0,LOOP
11,5500,500,3007,1420,2775,1267,2.380000,1.160000,0,0,LOOP
12,6000,500,2979,1465,2753,1313,2.356000,1.198000,0,0,LOOP
13,6500,500,2913,1528,2694,1390,2.306000,1.250000,0,0,LOOP
14,7000,500,2815,1595,2596,1420,2.229000,1.300000,0,0,LOOP
15,7500,500,2690,1685,2470,1533,2.138000,1.377000,0,0,LOOP
16,8000,500,2544,1781,2333,1628,2.026000,1.456000,0,0,LOOP
17,8500,500,2385,1905,2185,1744,1.898000,1.565000,0,0,LOOP
18,9000,500,2218,2026,2031,1874,1.771000,1.646000,0,0,LOOP
19,9500,500,2039,2144,1867,1997,1.637000,1.736000,0,0,LOOP
20,10000,500,1858,2266,1691,2115,1.499000,1.844000,0,0,LOOP
21,10500,500,1679,2367,1517,2213,1.367000,1.921000,0,0,LOOP
22,11000,500,1518,2466,1365,2315,1.234000,2.011000,0,0,LOOP
23,11500,500,1377,2541,1227,2394,1.129000,2.073000,0,0,LOOP
24,12000,500,1265,2603,1117,2450,1.045000,2.115000,0,0,LOOP
25,12500,500,1176,2653,1035,2496,0.977000,2.153000,0,0,LOOP
26,13000,500,1115,2685,974,2523,0.928000,2.188000,0,0,LOOP
27,13500,500,1087,2684,951,2534,0.903000,2.180000,0,0,LOOP
28,14000,500,1094,2662,952,2507,0.912000,2.162000,0,0,LOOP
29,14500,500,1133,2605,985,2450,0.939000,2.117000,0,0,LOOP
30,15000,500,1211,2548,1072,2379,1.002000,2.071000,0,0,LOOP
31,15500,500,1319,2475,1168,2319,1.083000,2.022000,0,0,LOOP
32,16000,500,1451,2385,1294,2230,1.183000,1.939000,0,0,LOOP
0,16500,500,1655,2233,1488,2082,1.340000,1.819000,0,0,LOOP
1,17000,500,1822,2115,1652,1950,1.477000,1.729000,0,0,LOOP
2,17500,500,1996,1994,1817,1850,1.607000,1.625000,0,0,LOOP
3,18000,500,2177,1872,1985,1722,1.738000,1.525000,0,0,LOOP
4,18500,500,2358,1760,2160,1610,1.882000,1.440000,0,0,LOOP
5,19000,500,2525,1660,2314,1520,2.005000,1.359000,0,0,LOOP
6,19500,500,2673,1579,2448,1423,2.114000,1.297000,0,0,LOOP
7,20000,500,2796,1513,2559,1355,2.204000,1.237000,0,0,LOOP
8,20500,500,2893,1456,2668,1301,2.290000,1.191000,0,0,LOOP
9,21000,500,2961,1419,2727,1267,2.336000,1.164000,0,0,LOOP
10,21500,500,3003,1411,2768,1263,2.375000,1.160000,0,0,LOOP
11,22000,500,3007,1420,2779,1263,2.372000,1.164000,0,0,LOOP
12,22500,500,2979,1465,2752,1305,2.360000,1.199000,0,0,LOOP
13,23000,500,2913,1528,2684,1375,2.307000,1.242000,0,0,LOOP
14,23500,500,2815,1595,2594,1453,2.235000,1.305000,0,0,LOOP
15,24000,500,2690,1685,2471,1530,2.129000,1.371000,0,0,LOOP
16,24500,500,2544,1781,2335,1629,2.026000,1.453000,0,0,LOOP
17,25000,500,2385,1905,2190,1747,1.904000,1.561000,0,0,LOOP
18,25500,500,2218,2026,2028,1872,1.777000,1.650000,0,0,LOOP
19,26000,500,2039,2144,1861,1989,1.640000,1.748000,0,0,LOOP
20,26500,500,1858,2266,1688,2113,1.500000,1.846000,0,0,LOOP
21,27000,500,1679,2367,1517,2209,1.367000,1.929000,0,0,LOOP
22,27500,500,1518,2466,1361,2315,1.237000,1.999000,0,0,LOOP
23,28000,500,1377,2541,1227,2384,1.127000,2.067000,0,0,LOOP
24,28500,500,1265,2603,1119,2450,1.045000,2.115000,0,0,LOOP
25,29000,500,1176,2653,1040,2496,0.975000,2.150000,0,0,LOOP
26,29500,500,1115,2685,965,2528,0.919000,2.179000,0,0,LOOP
27,30000,500,1087,2684,944,2527,0.908000,2.178000,0,0,LOOP
28,30500,500,1094,2662,955,2508,0.911000,2.164000,0,0,LOOP
29,31000,500,1133,2605,988,2448,0.938000,2.114000,0,0,LOOP
30,31500,500,1211,2548,1067,2401,1.004000,2.067000,0,0,LOOP
31,32000,500,1319,2475,1168,2319,1.085000,2.007000,0,0,LOOP
32,32500,500,1451,2385,1295,2234,1.186000,1.939000,0,0,LOOP
0,33000,500,1655,2233,1485,2086,1.342000,1.822000,0,0,LOOP
1,33500,500,1822,2115,1657,1968,1.454000,1.717000,0,0,LOOP
2,34000,500,1996,1994,1811,1849,1.603000,1.624000,0,0,LOOP
3,34500,500,2177,1872,1982,1723,1.736000,1.531000,0,0,LOOP
4,35000,500,2358,1760,2159,1616,1.882000,1.431000,0,0,LOOP
5,35500,500,2525,1660,2312,1504,2.002000,1.350000,0,0,LOOP
6,36000,500,2673,1579,2451,1414,2.119000,1.288000,0,0,LOOP
7,36500,500,2796,1513,2559,1357,2.204000,1.236000,0,0,LOOP
8,37000,500,2893,1456,2671,1306,2.284000,1.186000,0,0,LOOP
9,37500,500,2961,1419,2727,1264,2.341000,1.163000,0,0,LOOP
10,38000,500,3003,1411,2775,1259,2.370000,1.150000,0,0,LOOP
11,38500,500,3007,1420,2772,1263,2.379000,1.160000,0,0,LOOP
12,39000,500,2979,1465,2752,1315,2.355000,1.202000,0,0,LOOP
13,39500,500,2913,1528,2690,1374,2.307000,1.238000,0,0,LOOP
14,40000,500,2815,1595,2592,1438,2.237000,1.297000,0,0,LOOP
15,40500,500,2690,1685,2480,1535,2.134000,1.378000,0,0,LOOP
16,41000,500,2544,1781,2336,1620,2.024000,1.453000,0,0,LOOP
17,41500,500,2385,1905,2194,1750,1.906000,1.539000,0,0,LOOP
18,42000,500,2218,2026,2023,1878,1.775000,1.646000,0,0,LOOP
19,42500,500,2039,2144,1859,1988,1.636000,1.749000,0,0,LOOP
20,43000,500,1858,2266,1691,2114,1.498000,1.844000,0,0,LOOP
21,43500,500,1679,2367,1514,2207,1.361000,1.919000,0,0,LOOP
22,44000,500,1518,2466,1360,2295,1.238000,1.995000,0,0,LOOP
23,44500,500,1377,2541,1232,2384,1.131000,2.064000,0,0,LOOP
24,45000,500,1265,2603,1125,2445,1.042000,2.109000,0,0,LOOP
25,45500,500,1176,2653,1040,2502,0.975000,2.149000,0,0,LOOP
26,46000,500,1115,2685,976,2514,0.917000,2.188000,0,0,LOOP
27,46500,500,1087,2684,944,2523,0.906000,2.177000,0,0,LOOP
28,47000,500,1094,2662,949,2503,0.905000,2.161000,0,0,LOOP
29,47500,500,1133,2605,992,2452,0.940000,2.113000,0,0,LOOP
30,48000,500,1211,2548,1062,2388,1.006000,2.073000,0,0,LOOP
31,48500,500,1319,2475,1167,2319,1.086000,2.011000,0,0,LOOP
32,49000,500,1451,2385,1293,2227,1.186000,1.934000,0,0,LOOP
0,49500,500,1655,2233,1487,2087,1.342000,1.820000,0,0,LOOP
1,50000,500,1822,2115,1661,1939,1.475000,1.733000,0,0,LOOP
2,50500,500,1996,1994,1810,1840,1.603000,1.622000,0,0,LOOP
3,51000,500,2177,1872,1985,1715,1.740000,1.527000,0,0,LOOP
4,51500,500,2358,1760,2156,1607,1.881000,1.435000,0,0,LOOP
5,52000,500,2525,1660,2310,1505,2.005000,1.353000,0,0,LOOP
6,52500,500,2673,1579,2460,1420,2.118000,1.292000,0,0,LOOP
7,53000,500,2796,1513,2559,1361,2.204000,1.240000,0,0,LOOP
8,53500,500,2893,1456,2672,1297,2.292000,1.186000,0,0,LOOP
9,54000,500,2961,1419,2731,1264,2.345000,1.159000,0,0,LOOP
10,54500,500,3003,1411,2780,1248,2.372000,1.158000,0,0,LOOP
11,55000,500,3007,1420,2777,1264,2.374000,1.161000,0,0,LOOP
