sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI
0,0,0,1655,2233,1503,2085,1.349000,1.823000,0,0
1,500,500,1822,2115,1665,1967,1.486000,1.728000,0,0
2,1000,500,1996,1994,1839,1841,1.624000,1.626000,0,0
3,1500,500,2177,1872,2016,1721,1.767000,1.530000,0,0
4,2000,500,2358,1760,2201,1613,1.916000,1.449000,0,0
5,2500,500,2525,1660,2366,1507,2.047000,1.356000,0,0
6,3000,500,2673,1579,2510,1424,2.165000,1.290000,0,0
7,3500,500,2796,1513,2639,1361,2.269000,1.238000,0,0
8,4000,500,2893,1456,2736,1301,2.346000,1.187000,0,0
9,4500,500,2961,1419,2805,1264,2.400000,1.160000,0,0
10,5000,500,3003,1411,2845,1258,2.437000,1.155000,0,0
11,5500,500,3007,1420,2851,1266,2.439000,1.160000,0,0
12,6000,500,2979,1465,2821,1309,2.415000,1.197000,0,0
13,6500,500,2913,1528,2755,1374,2.362000,1.251000,0,0
14,7000,500,2815,1595,2657,1445,2.283000,1.306000,0,0
15,7500,500,2690,1685,2529,1535,2.178000,1.377000,0,0
16,8000,500,2544,1781,2383,1631,2.062000,1.457000,0,0
17,8500,500,2385,1905,2225,1759,1.938000,1.556000,0,0
18,9000,500,2218,2026,2062,1874,1.804000,1.652000,0,0
19,9500,500,2039,2144,1881,1994,1.658000,1.748000,0,0
20,10000,500,1858,2266,1701,2116,1.513000,1.847000,0,0
21,10500,500,1679,2367,1513,2215,1.367000,1.930000,0,0
22,11000,500,1518,2466,1361,2317,1.238000,2.009000,0,0
23,11500,500,1377,2541,1221,2391,1.124000,2.065000,0,0
24,12000,500,1265,2603,1109,2450,1.035000,2.117000,0,0
25,12500,500,1176,2653,1011,2502,0.960000,2.155000,0,0
26,13000,500,1115,2685,957,2535,0.910000,2.183000,0,0
27,13500,500,1087,2684,926,2533,0.886000,2.183000,0,0
28,14000,500,1094,2662,933,2512,0.892000,2.164000,0,0
29,14500,500,1133,2605,973,2454,0.921000,2.118000,0,0
30,15000,500,1211,2548,1054,2394,0.990000,2.074000,0,0
