sample,ts_comtrade,dt_us,t_us,adcA_raw,adcB_raw,adcA_V,adcB_V,dacA_code,dacB_code
1,0,0,0,1055,2100,0.850183,1.692308,1213,2250
2,500,500,500,1409,1968,1.135458,1.585934,1568,2122
3,1000,500,1000,1776,1835,1.431209,1.478755,1937,1989
4,1500,500,1500,2160,1708,1.740659,1.376410,2322,1857
5,2000,500,2000,2541,1584,2.047692,1.276484,2708,1734
6,2500,500,2500,2906,1471,2.341831,1.185421,3064,1625
7,3000,500,3000,3255,1382,2.623077,1.113700,3378,1537
8,3500,500,3500,3612,1309,2.910769,1.054872,3639,1465
9,4000,500,4000,3954,1247,3.186373,1.004908,3845,1403
10,4500,500,4500,4095,1204,3.300000,0.970256,3992,1362
11,5000,500,5000,4095,1197,3.300000,0.964615,4080,1354
12,5500,500,5500,4095,1205,3.300000,0.971062,4088,1364
13,6000,500,6000,4095,1255,3.300000,1.011355,4028,1412
14,6500,500,6500,4046,1326,3.260513,1.068571,3890,1481
15,7000,500,7000,3679,1402,2.964762,1.129817,3681,1555
16,7500,500,7500,3305,1497,2.663370,1.206374,3414,1652
17,8000,500,8000,2945,1605,2.373260,1.293407,3103,1757
18,8500,500,8500,2605,1739,2.099267,1.401392,2765,1892
19,9000,500,9000,2245,1872,1.809158,1.508571,2409,2024
20,9500,500,9500,1867,1997,1.504542,1.609304,2029,2153
21,10000,500,10000,1484,2131,1.195897,1.717289,1644,2285
22,10500,500,10500,1105,2242,0.890476,1.806740,1263,2396
23,11000,500,11000,755,2350,0.608425,1.893773,922,2503
24,11500,500,11500,455,2430,0.366667,1.958242,621,2585
25,12000,500,12000,221,2498,0.178095,2.013040,382,2653
26,12500,500,12500,37,2553,0.029817,2.057363,193,2708
27,13000,500,13000,0,2591,0.000000,2.087985,65,2743
28,13500,500,13500,0,2587,0.000000,2.084762,3,2741
29,14000,500,14000,0,2559,0.000000,2.062198,19,2718
30,14500,500,14500,0,2500,0.000000,2.014652,102,2655
31,15000,500,15000,111,2441,0.089451,1.967106,267,2593
32,15500,500,15500,336,2357,0.270769,1.899414,497,2513
33,16000,500,16000,617,2261,0.497216,1.822051,778,2416
34,16500,500,16500,938,2137,0.755897,1.722125,1101,2289
35,17000,500,17000,1288,2007,1.037949,1.617363,1448,2164
36,17500,500,17500,1650,1872,1.329670,1.508571,1808,2028
37,18000,500,18000,2029,1745,1.635092,1.406227,2192,1901
38,18500,500,18500,2416,1621,1.946960,1.306300,2579,1773
39,19000,500,19000,2793,1515,2.250769,1.220879,2951,1666
40,19500,500,19500,3138,1406,2.528791,1.133040,3277,1562
41,20000,500,20000,3493,1331,2.814872,1.072601,3561,1488
42,20500,500,20500,3839,1261,3.093700,1.016191,3780,1416
43,21000,500,21000,4095,1217,3.300000,0.980733,3948,1373
44,21500,500,21500,4095,1191,3.300000,0.959780,4060,1348
45,22000,500,22000,4095,1198,3.300000,0.965421,4094,1354
46,22500,500,22500,4095,1245,3.300000,1.003297,4057,1401
47,23000,500,23000,4095,1301,3.300000,1.048425,3944,1457
48,23500,500,23500,3802,1371,3.063883,1.104835,3758,1525
49,24000,500,24000,3417,1461,2.753626,1.177363,3509,1617
50,24500,500,24500,3065,1571,2.469963,1.266007,3212,1720
51,25000,500,25000,2719,1690,2.191136,1.361905,2883,1845
52,25500,500,25500,2366,1825,1.906667,1.470696,2530,1981
53,26000,500,26000,1998,1962,1.610110,1.581099,2160,2112
54,26500,500,26500,1619,2089,1.304689,1.683443,1773,2236
55,27000,500,27000,1227,2206,0.988791,1.777729,1388,2359
