sample,ts_comtrade,dt_us,t_us,adcA_raw,adcB_raw,adcA_V,adcB_V,dacA_code,dacB_code
1,0,0,0,1052,2096,0.847766,1.689084,1213,2250
2,500,500,500,1408,1967,1.134652,1.585128,1568,2122
3,1000,500,1000,1776,1834,1.431209,1.477949,1937,1989
4,1500,500,1500,2157,1703,1.738242,1.372381,2322,1857
5,2000,500,2000,2535,1584,2.042857,1.276484,2708,1734
6,2500,500,2500,2901,1470,2.337802,1.184615,3064,1625
7,3000,500,3000,3250,1383,2.619048,1.114506,3378,1537
8,3500,500,3500,3605,1308,2.905128,1.054066,3639,1465
9,4000,500,4000,3949,1246,3.182344,1.004103,3845,1403
10,4500,500,4500,4095,1203,3.300000,0.969451,3992,1362
11,5000,500,5000,4095,1198,3.300000,0.965421,4080,1354
12,5500,500,5500,4095,1206,3.300000,0.971868,4088,1364
13,6000,500,6000,4095,1255,3.300000,1.011355,4028,1412
14,6500,500,6500,4035,1326,3.251648,1.068571,3890,1481
15,7000,500,7000,3669,1398,2.956703,1.126593,3681,1555
16,7500,500,7500,3294,1495,2.654505,1.204762,3414,1652
17,8000,500,8000,2943,1605,2.371648,1.293407,3103,1757
18,8500,500,8500,2603,1739,2.097656,1.401392,2765,1892
19,9000,500,9000,2243,1869,1.807546,1.506154,2409,2024
20,9500,500,9500,1867,1998,1.504542,1.610110,2029,2153
21,10000,500,10000,1483,2128,1.195092,1.714872,1644,2285
22,10500,500,10500,1103,2240,0.888865,1.805128,1263,2396
23,11000,500,11000,757,2347,0.610037,1.891355,922,2503
24,11500,500,11500,457,2431,0.368278,1.959048,621,2585
25,12000,500,12000,223,2495,0.179707,2.010623,382,2653
26,12500,500,12500,35,2550,0.028205,2.054945,193,2708
27,13000,500,13000,0,2587,0.000000,2.084762,65,2743
28,13500,500,13500,0,2587,0.000000,2.084762,3,2741
29,14000,500,14000,0,2558,0.000000,2.061392,19,2718
30,14500,500,14500,0,2496,0.000000,2.011429,102,2655
31,15000,500,15000,109,2436,0.087839,1.963077,267,2593
32,15500,500,15500,336,2355,0.270769,1.897802,497,2513
33,16000,500,16000,614,2257,0.494799,1.818828,778,2416
34,16500,500,16500,935,2131,0.753480,1.717289,1101,2289
35,17000,500,17000,1287,2007,1.037143,1.617363,1448,2164
36,17500,500,17500,1650,1872,1.329670,1.508571,1808,2028
37,18000,500,18000,2027,1744,1.633480,1.405421,2192,1901
38,18500,500,18500,2413,1619,1.944542,1.304689,2579,1773
39,19000,500,19000,2784,1511,2.243516,1.217656,2951,1666
40,19500,500,19500,3138,1402,2.528791,1.129817,3277,1562
41,20000,500,20000,3490,1329,2.812454,1.070989,3561,1488
42,20500,500,20500,3834,1259,3.089670,1.014579,3780,1416
43,21000,500,21000,4095,1216,3.300000,0.979927,3948,1373
44,21500,500,21500,4095,1190,3.300000,0.958974,4060,1348
45,22000,500,22000,4095,1198,3.300000,0.965421,4094,1354
46,22500,500,22500,4095,1243,3.300000,1.001685,4057,1401
47,23000,500,23000,4095,1299,3.300000,1.046813,3944,1457
48,23500,500,23500,3796,1366,3.059048,1.100806,3758,1525
49,24000,500,24000,3413,1460,2.750403,1.176557,3509,1617
50,24500,500,24500,3059,1569,2.465128,1.264396,3212,1720
51,25000,500,25000,2718,1691,2.190330,1.362711,2883,1845
52,25500,500,25500,2363,1824,1.904249,1.469890,2530,1981
53,26000,500,26000,1997,1955,1.609304,1.575458,2160,2112
54,26500,500,26500,1616,2081,1.302271,1.676996,1773,2236
55,27000,500,27000,1226,2201,0.987985,1.773700,1388,2359
56,27500,500,27500,868,2307,0.699487,1.859121,1031,2466
57,28000,500,28000,559,2403,0.450476,1.936484,717,2560
58,28500,500,28500,292,2478,0.235311,1.996923,455,2634
59,29000,500,29000,90,2535,0.072527,2.042857,249,2694
60,29500,500,29500,0,2559,0.000000,2.062198,103,2735
61,30000,500,30000,0,2591,0.000000,2.087985,14,2745
62,30500,500,30500,0,2559,0.000000,2.062198,6,2729
63,31000,500,31000,0,2523,0.000000,2.033187,67,2681
64,31500,500,31500,48,2465,0.038681,1.986447,205,2620
65,32000,500,32000,247,2389,0.199048,1.925202,411,2546
66,32500,500,32500,511,2289,0.411795,1.844615,678,2449
67,33000,500,33000,823,2179,0.663223,1.755971,989,2336
68,33500,500,33500,1168,2054,0.941245,1.655238,1328,2207
69,34000,500,34000,1523,1917,1.227326,1.544835,1685,2071
70,34500,500,34500,1903,1786,1.533553,1.439267,2064,1942
71,35000,500,35000,2283,1661,1.839780,1.338535,2449,1816
72,35500,500,35500,2663,1535,2.146007,1.236996,2830,1699
73,36000,500,36000,3017,1438,2.431282,1.158828,3172,1594
74,36500,500,36500,3371,1360,2.716557,1.095971,3474,1514
75,37000,500,37000,3720,1280,2.997802,1.031502,3712,1438
76,37500,500,37500,4051,1231,3.264542,0.992015,3901,1387
77,38000,500,38000,4095,1193,3.300000,0.961392,4028,1350
78,38500,500,38500,4095,1200,3.300000,0.967033,4091,1358
79,39000,500,39000,4095,1222,3.300000,0.984762,4076,1379
80,39500,500,39500,4095,1281,3.300000,1.032308,3994,1438
81,40000,500,40000,3920,1345,3.158974,1.083883,3828,1502
82,40500,500,40500,3537,1426,2.850330,1.149158,3598,1584
83,41000,500,41000,3181,1523,2.563443,1.227326,3316,1681
84,41500,500,41500,2827,1651,2.278168,1.330476,2994,1806
85,42000,500,42000,2480,1776,1.998535,1.431209,2648,1933
86,42500,500,42500,2126,1919,1.713260,1.546447,2289,2071
87,43000,500,43000,1742,2032,1.403810,1.637509,1904,2194
88,43500,500,43500,1357,2163,1.093553,1.743077,1516,2320
89,44000,500,44000,978,2271,0.788132,1.830110,1145,2431
90,44500,500,44500,656,2377,0.528645,1.915531,819,2535
91,45000,500,45000,371,2446,0.298974,1.971136,533,2603
92,45500,500,45500,153,2512,0.123297,2.024323,314,2673
93,46000,500,46000,0,2559,0.000000,2.062198,146,2724
94,46500,500,46500,0,2591,0.000000,2.087985,36,2747
95,47000,500,47000,0,2586,0.000000,2.083956,0,2739
96,47500,500,47500,0,2541,0.000000,2.047692,38,2698
97,48000,500,48000,0,2480,0.000000,1.998535,148,2638
98,48500,500,48500,175,2414,0.141026,1.945348,335,2570
99,49000,500,49000,419,2322,0.337656,1.871209,584,2482
100,49500,500,49500,716,2222,0.576996,1.790623,881,2379
101,50000,500,50000,1054,2099,0.849377,1.691502,1211,2252
102,50500,500,50500,1405,1962,1.132234,1.581099,1564,2118
103,51000,500,51000,1773,1828,1.428791,1.473114,1935,1985
104,51500,500,51500,2155,1702,1.736630,1.371575,2320,1857
105,52000,500,52000,2535,1585,2.042857,1.277289,2706,1738
106,52500,500,52500,2899,1472,2.336190,1.186227,3062,1627
107,53000,500,53000,3249,1379,2.618242,1.111282,3376,1535
108,53500,500,53500,3602,1307,2.902711,1.053260,3637,1463
109,54000,500,54000,3949,1244,3.182344,1.002491,3843,1401
110,54500,500,54500,4095,1204,3.300000,0.970256,3991,1364
111,55000,500,55000,4095,1193,3.300000,0.961392,4081,1350
112,55500,500,55500,4095,1206,3.300000,0.971868,4089,1364
113,56000,500,56000,4095,1258,3.300000,1.013773,4029,1414
114,56500,500,56500,4033,1326,3.250036,1.068571,3892,1479
115,57000,500,57000,3673,1393,2.959927,1.122564,3683,1551
116,57500,500,57500,3298,1491,2.657729,1.201538,3416,1648
117,58000,500,58000,2946,1609,2.374066,1.296630,3106,1761
118,58500,500,58500,2605,1733,2.099267,1.396557,2768,1888
119,59000,500,59000,2243,1869,1.807546,1.506154,2411,2024
120,59500,500,59500,1871,1995,1.507766,1.607692,2032,2149
121,60000,500,60000,1485,2128,1.196703,1.714872,1647,2283
122,60500,500,60500,1106,2241,0.891282,1.805934,1266,2398
123,61000,500,61000,761,2345,0.613260,1.889744,924,2503
124,61500,500,61500,459,2433,0.369890,1.960659,623,2591
125,62000,500,62000,222,2495,0.178901,2.010623,385,2653
126,62500,500,62500,38,2547,0.030623,2.052527,194,2708
127,63000,500,63000,0,2582,0.000000,2.080733,66,2737
128,63500,500,63500,0,2581,0.000000,2.079927,3,2739
129,64000,500,64000,0,2554,0.000000,2.058169,19,2712
130,64500,500,64500,0,2496,0.000000,2.011429,101,2657
131,65000,500,65000,109,2441,0.087839,1.967106,266,2597
132,65500,500,65500,333,2353,0.268352,1.896191,495,2511
133,66000,500,66000,612,2256,0.493187,1.818022,776,2414
134,66500,500,66500,934,2141,0.752674,1.725348,1097,2295
135,67000,500,67000,1280,2000,1.031502,1.611722,1444,2160
136,67500,500,67500,1647,1872,1.327253,1.508571,1806,2028
137,68000,500,68000,2027,1750,1.633480,1.410256,2190,1905
138,68500,500,68500,2411,1619,1.942930,1.304689,2577,1773
139,69000,500,69000,2781,1505,2.241099,1.212821,2949,1662
140,69500,500,69500,3134,1407,2.525568,1.133846,3274,1562
141,70000,500,70000,3481,1329,2.805202,1.070989,3558,1486
142,70500,500,70500,3824,1264,3.081612,1.018608,3778,1422
143,71000,500,71000,4095,1216,3.300000,0.979927,3948,1373
144,71500,500,71500,4095,1185,3.300000,0.954945,4060,1344
145,72000,500,72000,4095,1200,3.300000,0.967033,4095,1358
146,72500,500,72500,4095,1237,3.300000,0.996850,4057,1397
147,73000,500,73000,4095,1299,3.300000,1.046813,3947,1457
148,73500,500,73500,3797,1373,3.059854,1.106447,3760,1529
149,74000,500,74000,3418,1456,2.754432,1.173333,3512,1611
150,74500,500,74500,3059,1567,2.465128,1.262784,3214,1718
151,75000,500,75000,2719,1694,2.191136,1.365128,2885,1849
152,75500,500,75500,2365,1818,1.905861,1.465055,2532,1977
153,76000,500,76000,2000,1958,1.611722,1.577875,2163,2112
154,76500,500,76500,1616,2082,1.302271,1.677802,1776,2236
155,77000,500,77000,1228,2201,0.989597,1.773700,1390,2357
156,77500,500,77500,867,2307,0.698681,1.859121,1032,2464
157,78000,500,78000,560,2403,0.451282,1.936484,719,2560
158,78500,500,78500,295,2472,0.237729,1.992088,457,2630
159,79000,500,79000,91,2529,0.073333,2.038022,250,2688
