sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI,mode
0,0,0,1655,2233,1494,2088,1.352000,1.823000,0,0,PRE
1,500,500,1822,2115,1669,1967,1.485000,1.727000,0,0,PRE
2,1000,500,1996,1994,1840,1843,1.624000,1.628000,0,0,PRE
3,1500,500,2177,1872,2017,1727,1.753000,1.533000,0,0,PRE
4,2000,500,2358,1760,2198,1616,1.916000,1.443000,0,0,PRE
5,2500,500,2525,1660,2369,1511,2.046000,1.361000,0,0,PRE
6,3000,500,2673,1579,2509,1429,2.162000,1.293000,0,0,PRE
7,3500,500,2796,1513,2627,1361,2.255000,1.239000,0,0,PRE
8,4000,500,2893,1456,2735,1309,2.345000,1.195000,0,0,PRE
9,4500,500,2961,1419,2802,1270,2.399000,1.164000,0,0,PRE
10,5000,500,3003,1411,2847,1259,2.434000,1.159000,0,0,PRE
11,5500,500,3007,1420,2858,1270,2.439000,1.161000,0,0,PRE
12,6000,500,2979,1465,2819,1315,2.414000,1.201000,0,0,PRE
13,6500,500,2913,1528,2754,1381,2.357000,1.252000,0,0,PRE
14,7000,500,2815,1595,2653,1446,2.278000,1.308000,0,0,PRE
15,7500,500,2690,1685,2527,1535,2.177000,1.379000,0,0,PRE
16,8000,500,2544,1781,2383,1633,2.061000,1.458000,0,0,PRE
17,8500,500,2385,1905,2240,1755,1.932000,1.559000,0,0,PRE
18,9000,500,2218,2026,2064,1898,1.805000,1.651000,0,0,PRE
19,9500,500,2039,2144,1887,1994,1.657000,1.749000,0,0,PRE
20,10000,500,1858,2266,1708,2118,1.518000,1.849000,0,0,PRE
21,10500,500,1679,2367,1521,2219,1.370000,1.929000,0,0,PRE
22,11000,500,1518,2466,1362,2316,1.242000,2.007000,0,0,PRE
23,11500,500,1377,2541,1225,2390,1.127000,2.067000,0,0,PRE
24,12000,500,1265,2603,1109,2448,1.085000,2.115000,0,0,PRE
25,12500,500,1176,2653,1015,2501,0.965000,2.157000,0,0,PRE
26,13000,500,1115,2685,959,2535,0.915000,2.184000,0,0,PRE
27,13500,500,1087,2684,931,2529,0.890000,2.180000,0,0,PRE
28,14000,500,1094,2662,929,2512,0.901000,2.166000,0,0,PRE
29,14500,500,1133,2605,977,2453,0.927000,2.119000,0,0,PRE
30,15000,500,1211,2548,1054,2398,0.994000,2.076000,0,0,PRE
31,15500,500,1319,2475,1164,2322,1.075000,2.013000,0,0,PRE
32,16000,500,1451,2385,1296,2237,1.186000,1.941000,0,0,PRE
33,16500,500,1602,2269,1443,2120,1.309000,1.836000,0,0,PRE
34,17000,500,1766,2155,1614,2006,1.441000,1.756000,0,0,PRE
35,17500,500,1935,2030,1727,1881,1.575000,1.659000,0,0,PRE
36,18000,500,2115,1913,1958,1777,1.720000,1.563000,0,0,PRE
37,18500,500,2297,1796,2147,1649,1.865000,1.470000,0,0,PRE
38,19000,500,2472,1697,2318,1535,2.007000,1.379000,0,0,PRE
39,19500,500,2625,1603,2465,1456,2.129000,1.315000,0,0,PRE
40,20000,500,2759,1535,2547,1392,2.241000,1.259000,0,0,PRE
41,20500,500,2862,1469,2704,1319,2.316000,1.205000,0,0,PRE
42,21000,500,2941,1429,2781,1281,2.381000,1.172000,0,0,PRE
43,21500,500,2993,1406,2835,1253,2.426000,1.152000,0,0,PRE
44,22000,500,3010,1411,2849,1262,2.440000,1.159000,0,0,PRE
45,22500,500,2992,1454,2832,1300,2.426000,1.192000,0,0,PRE
46,23000,500,2939,1506,2768,1357,2.386000,1.236000,0,0,PRE
47,23500,500,2851,1569,2693,1422,2.308000,1.286000,0,0,PRE
48,24000,500,2734,1653,2559,1503,2.204000,1.353000,0,0,PRE
49,24500,500,2595,1747,2434,1600,2.096000,1.431000,0,0,PRE
50,25000,500,2440,1862,2277,1715,1.977000,1.523000,0,0,PRE
51,25500,500,2274,1987,2114,1839,1.837000,1.623000,0,0,PRE
52,26000,500,2100,2106,1945,1957,1.706000,1.719000,0,0,PRE
53,26500,500,1919,2221,1767,2071,1.564000,1.813000,0,0,PRE
54,27000,500,1738,2333,1585,2185,1.425000,1.903000,0,0,PRE
55,27500,500,1570,2432,1452,2282,1.284000,1.981000,0,0,PRE
56,28000,500,1422,2517,1267,2361,1.164000,2.049000,0,0,PRE
57,28500,500,1299,2585,1151,2434,1.067000,2.103000,0,0,PRE
58,29000,500,1202,2641,1048,2491,0.980000,2.151000,0,0,PRE
59,29500,500,1133,2678,976,2529,0.924000,2.177000,0,0,PRE
60,30000,500,1092,2687,933,2541,0.895000,2.186000,0,0,PRE
61,30500,500,1088,2673,934,2521,0.895000,2.163000,0,0,PRE
62,31000,500,1117,2628,958,2479,0.915000,2.139000,0,0,PRE
63,31500,500,1181,2573,1023,2423,0.963000,2.094000,0,0,PRE
64,32000,500,1278,2505,1114,2354,1.041000,2.038000,0,0,PRE
65,32500,500,1404,2416,1250,2266,1.149000,1.968000,0,0,PRE
66,33000,500,1550,2312,1376,2162,1.267000,1.885000,0,0,PRE
67,33500,500,1709,2194,1555,2045,1.396000,1.788000,0,0,PRE
68,34000,500,1877,2069,1730,1920,1.538000,1.689000,0,0,PRE
69,34500,500,2055,1951,1901,1803,1.670000,1.595000,0,0,PRE
70,35000,500,2236,1835,2079,1674,1.814000,1.501000,0,0,PRE
71,35500,500,2415,1728,2256,1584,1.964000,1.418000,0,0,PRE
72,36000,500,2576,1631,2416,1482,2.088000,1.339000,0,0,PRE
73,36500,500,2718,1558,2557,1408,2.199000,1.277000,0,0,PRE
74,37000,500,2830,1488,2675,1338,2.295000,1.222000,0,0,PRE
75,37500,500,2919,1442,2770,1293,2.367000,1.184000,0,0,PRE
76,38000,500,2978,1408,2822,1257,2.415000,1.155000,0,0,PRE
77,38500,500,3008,1415,2862,1264,2.434000,1.160000,0,0,PRE
78,39000,500,3001,1435,2832,1285,2.429000,1.176000,0,0,PRE
79,39500,500,2962,1488,2803,1341,2.399000,1.221000,0,0,PRE
80,40000,500,2884,1547,2662,1399,2.336000,1.268000,0,0,PRE
81,40500,500,2776,1622,2618,1472,2.250000,1.328000,0,0,PRE
82,41000,500,2644,1712,2480,1568,2.142000,1.406000,0,0,PRE
83,41500,500,2492,1826,2332,1680,2.017000,1.495000,0,0,PRE
84,42000,500,2330,1942,2176,1793,1.885000,1.585000,0,0,PRE
85,42500,500,2161,2069,2000,1920,1.756000,1.689000,0,0,PRE
86,43000,500,1980,2182,1826,2032,1.616000,1.779000,0,0,PRE
87,43500,500,1798,2298,1645,2151,1.470000,1.877000,0,0,PRE
88,44000,500,1623,2400,1469,2253,1.329000,1.955000,0,0,PRE
89,44500,500,1470,2494,1337,2345,1.207000,2.030000,0,0,PRE
90,45000,500,1336,2557,1184,2406,1.094000,2.082000,0,0,PRE
