sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V
1,0,0,1302,2452,1142,2301,1.062000,1.997000
2,500,500,1604,2197,1446,2045,1.307000,1.790000
3,1000,500,1944,1929,1782,1777,1.579000,1.574000
4,1500,500,2305,1665,2146,1514,1.870000,1.362000
5,2000,500,2649,1433,2483,1280,2.146000,1.174000
6,2500,500,2933,1242,2771,1088,2.377000,1.019000
7,3000,500,3149,1101,3003,943,2.542000,0.902000
8,3500,500,3303,995,3173,834,2.661000,0.815000
9,4000,500,3407,909,3294,751,2.738000,0.747000
10,4500,500,3472,857,3375,697,2.787000,0.702000
11,5000,500,3509,847,3424,687,2.817000,0.695000
12,5500,500,3512,859,3427,699,2.817000,0.704000
13,6000,500,3488,922,3399,759,2.797000,0.755000
14,6500,500,3428,1017,3317,855,2.755000,0.832000
15,7000,500,3325,1129,3198,967,2.677000,0.924000
16,7500,500,3172,1289,3024,1136,2.559000,1.057000
17,8000,500,2962,1476,2806,1325,2.399000,1.208000
18,8500,500,2697,1734,2532,1585,2.181000,1.420000
19,9000,500,2385,2000,2224,1850,1.934000,1.632000
20,9500,500,2030,2260,1872,2112,1.649000,1.843000
21,10000,500,1672,2520,1514,2369,1.361000,2.050000
22,10500,500,1343,2725,1183,2559,1.096000,2.204000
23,11000,500,1083,2907,921,2762,0.882000,2.365000
24,11500,500,886,3035,721,2889,0.724000,2.469000
25,12000,500,753,3133,592,2992,0.619000,2.537000
26,12500,500,662,3206,498,3071,0.542000,2.598000
27,13000,500,606,3250,441,3127,0.499000,2.628000
28,13500,500,581,3248,419,3117,0.480000,2.625000
29,14000,500,588,3218,429,3089,0.486000,2.603000
30,14500,500,622,3136,459,3001,0.511000,2.539000
31,15000,500,696,3046,537,2900,0.576000,2.475000
32,15500,500,815,2923,654,2774,0.670000,2.374000
33,16000,500,985,2759,819,2612,0.803000,2.244000
34,16500,500,1214,2527,1056,2374,0.992000,2.058000
35,17000,500,1498,2283,1341,2132,1.222000,1.859000
