sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI
1,0,0,2022,2048,1863,1899,1.645000,1.671000,0,0
2,65,65,2007,2048,1850,1898,1.632000,1.673000,0,0
3,130,65,1992,2048,1833,1901,1.620000,1.672000,0,0
4,195,65,1977,2048,1814,1898,1.607000,1.671000,0,0
5,261,66,1963,2048,1803,1898,1.595000,1.671000,0,0
6,326,65,1948,2048,1789,1898,1.582000,1.670000,0,0
7,391,65,1933,2048,1776,1898,1.573000,1.668000,0,0
8,456,65,1918,2048,1758,1895,1.559000,1.671000,0,0
9,521,65,1904,2048,1744,1897,1.547000,1.671000,0,0
10,586,65,1889,2048,1731,1898,1.534000,1.667000,0,0
11,651,65,1875,2048,1714,1894,1.526000,1.670000,0,0
12,716,65,1860,2048,1699,1895,1.512000,1.668000,0,0
13,781,65,1846,2048,1687,1897,1.499000,1.669000,0,0
14,846,65,1832,2048,1675,1897,1.492000,1.669000,0,0
15,912,66,1817,2048,1659,1898,1.482000,1.669000,0,0
16,977,65,1803,2048,1646,1895,1.469000,1.669000,0,0
17,1042,65,1789,2048,1632,1895,1.459000,1.671000,0,0
18,1107,65,1774,2048,1618,1895,1.444000,1.670000,0,0
19,1172,65,1760,2048,1605,1899,1.436000,1.671000,0,0
20,1237,65,1746,2048,1590,1897,1.424000,1.670000,0,0
21,1302,65,1732,2048,1579,1899,1.415000,1.670000,0,0
22,1367,65,1718,2048,1565,1899,1.400000,1.671000,0,0
23,1432,65,1704,2048,1552,1898,1.379000,1.671000,0,0
24,1498,66,1690,2048,1533,1899,1.377000,1.671000,0,0
25,1563,65,1676,2048,1518,1898,1.366000,1.671000,0,0
26,1628,65,1663,2048,1504,1898,1.353000,1.670000,0,0
27,1693,65,1649,2048,1489,1897,1.342000,1.670000,0,0
28,1758,65,1636,2048,1480,1899,1.333000,1.670000,0,0
29,1823,65,1623,2048,1465,1897,1.322000,1.672000,0,0
30,1888,65,1610,2048,1454,1894,1.314000,1.671000,0,0
31,1953,65,1598,2048,1441,1899,1.303000,1.671000,0,0
