sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI
1,0,0,1786,2159,1633,2006,1.457000,1.755000,0,0
2,500,500,1897,2088,1739,1936,1.543000,1.702000,0,0
3,1000,500,2013,2015,1854,1864,1.636000,1.642000,0,0
4,1500,500,2134,1942,1971,1789,1.737000,1.583000,0,0
5,2000,500,2254,1875,2096,1725,1.831000,1.530000,0,0
6,2500,500,2366,1815,2205,1664,1.919000,1.483000,0,0
7,3000,500,2464,1767,2302,1616,1.996000,1.444000,0,0
8,3500,500,2546,1727,2384,1579,2.065000,1.414000,0,0
9,4000,500,2611,1693,2448,1535,2.114000,1.379000,0,0
10,4500,500,2657,1670,2492,1518,2.150000,1.367000,0,0
11,5000,500,2684,1666,2512,1511,2.171000,1.362000,0,0
12,5500,500,2687,1671,2519,1518,2.166000,1.367000,0,0
13,6000,500,2668,1698,2501,1535,2.159000,1.379000,0,0
14,6500,500,2625,1736,2463,1585,2.126000,1.421000,0,0
15,7000,500,2559,1776,2395,1625,2.072000,1.453000,0,0
16,7500,500,2476,1830,2314,1681,2.007000,1.495000,0,0
17,8000,500,2378,1888,2217,1738,1.929000,1.543000,0,0
18,8500,500,2272,1962,2110,1808,1.843000,1.599000,0,0
19,9000,500,2161,2035,2000,1883,1.753000,1.660000,0,0
20,9500,500,2042,2105,1885,1952,1.659000,1.716000,0,0
21,10000,500,1921,2178,1762,2023,1.562000,1.773000,0,0
22,10500,500,1802,2239,1648,2091,1.469000,1.823000,0,0
23,11000,500,1695,2298,1535,2147,1.379000,1.872000,0,0
24,11500,500,1600,2343,1442,2190,1.309000,1.908000,0,0
25,12000,500,1526,2381,1367,2226,1.242000,1.935000,0,0
26,12500,500,1466,2411,1306,2256,1.194000,1.960000,0,0
27,13000,500,1426,2430,1265,2277,1.161000,1.975000,0,0
28,13500,500,1407,2429,1247,2275,1.146000,1.975000,0,0
29,14000,500,1412,2416,1251,2262,1.149000,1.959000,0,0
30,14500,500,1438,2382,1279,2227,1.171000,1.936000,0,0
31,15000,500,1490,2348,1331,2195,1.213000,1.910000,0,0
32,15500,500,1562,2304,1404,2153,1.272000,1.877000,0,0
