sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI
1,0,0,1655,2233,1505,2086,1.349000,1.825000,0,0
2,500,500,1822,2115,1666,1967,1.491000,1.727000,0,0
3,1000,500,1996,1994,1843,1842,1.624000,1.627000,0,0
4,1500,500,2177,1872,2014,1723,1.762000,1.532000,0,0
5,2000,500,2358,1760,2202,1614,1.912000,1.446000,0,0
6,2500,500,2525,1660,2368,1510,2.037000,1.359000,0,0
7,3000,500,2673,1579,2510,1427,2.162000,1.291000,0,0
8,3500,500,2796,1513,2635,1364,2.265000,1.238000,0,0
9,4000,500,2893,1456,2767,1305,2.344000,1.198000,0,0
10,4500,500,2961,1419,2795,1269,2.400000,1.163000,0,0
11,5000,500,3003,1411,2847,1261,2.435000,1.159000,0,0
12,5500,500,3007,1420,2851,1270,2.438000,1.163000,0,0
13,6000,500,2979,1465,2819,1313,2.415000,1.201000,0,0
14,6500,500,2913,1528,2754,1381,2.360000,1.253000,0,0
15,7000,500,2815,1595,2650,1442,2.280000,1.315000,0,0
16,7500,500,2690,1685,2533,1535,2.177000,1.379000,0,0
17,8000,500,2544,1781,2383,1639,2.042000,1.458000,0,0
18,8500,500,2385,1905,2224,1758,1.934000,1.558000,0,0
19,9000,500,2218,2026,2063,1874,1.800000,1.652000,0,0
20,9500,500,2039,2144,1878,1994,1.659000,1.748000,0,0
21,10000,500,1858,2266,1706,2118,1.517000,1.848000,0,0
22,10500,500,1679,2367,1523,2221,1.371000,1.926000,0,0
23,11000,500,1518,2466,1361,2320,1.238000,2.006000,0,0
24,11500,500,1377,2541,1222,2390,1.126000,2.067000,0,0
25,12000,500,1265,2603,1111,2447,1.031000,2.116000,0,0
26,12500,500,1176,2653,1011,2505,0.958000,2.161000,0,0
27,13000,500,1115,2685,956,2534,0.911000,2.183000,0,0
28,13500,500,1087,2684,938,2532,0.887000,2.192000,0,0
29,14000,500,1094,2662,938,2512,0.848000,2.165000,0,0
30,14500,500,1133,2605,976,2454,0.929000,2.117000,0,0
31,15000,500,1211,2548,1050,2384,0.993000,2.072000,0,0
32,15500,500,1319,2475,1163,2323,1.081000,2.013000,0,0
33,16000,500,1451,2385,1296,2234,1.186000,1.942000,0,0
34,16500,500,1602,2269,1459,2119,1.310000,1.852000,0,0
35,17000,500,1766,2155,1613,2001,1.441000,1.755000,0,0
36,17500,500,1935,2030,1763,1883,1.576000,1.657000,0,0
37,18000,500,2115,1913,1954,1764,1.715000,1.564000,0,0
38,18500,500,2297,1796,2135,1648,1.862000,1.470000,0,0
39,19000,500,2472,1697,2311,1535,2.002000,1.379000,0,0
40,19500,500,2625,1603,2457,1456,2.175000,1.314000,0,0
41,20000,500,2759,1535,2601,1386,2.248000,1.259000,0,0
42,20500,500,2862,1469,2701,1318,2.320000,1.205000,0,0
43,21000,500,2941,1429,2782,1281,2.381000,1.173000,0,0
44,21500,500,2993,1406,2838,1256,2.428000,1.156000,0,0
45,22000,500,3010,1411,2847,1261,2.442000,1.159000,0,0
46,22500,500,2992,1454,2832,1300,2.423000,1.213000,0,0
47,23000,500,2939,1506,2771,1358,2.382000,1.236000,0,0
48,23500,500,2851,1569,2688,1421,2.312000,1.284000,0,0
49,24000,500,2734,1653,2559,1503,2.225000,1.350000,0,0
50,24500,500,2595,1747,2433,1601,2.100000,1.432000,0,0
51,25000,500,2440,1862,2279,1713,1.983000,1.521000,0,0
52,25500,500,2274,1987,2122,1837,1.856000,1.622000,0,0
53,26000,500,2100,2106,1941,1954,1.707000,1.717000,0,0
54,26500,500,1919,2221,1765,2074,1.560000,1.811000,0,0
55,27000,500,1738,2333,1584,2182,1.421000,1.897000,0,0
56,27500,500,1570,2432,1412,2282,1.280000,1.976000,0,0
57,28000,500,1422,2517,1267,2368,1.153000,2.049000,0,0
58,28500,500,1299,2585,1138,2433,1.063000,2.101000,0,0
59,29000,500,1202,2641,1046,2489,0.984000,2.149000,0,0
60,29500,500,1133,2678,975,2519,0.924000,2.177000,0,0
61,30000,500,1092,2687,934,2546,0.894000,2.183000,0,0
62,30500,500,1088,2673,932,2519,0.887000,2.171000,0,0
63,31000,500,1117,2628,951,2479,0.913000,2.139000,0,0
64,31500,500,1181,2573,1022,2423,0.964000,2.093000,0,0
65,32000,500,1278,2505,1122,2353,1.048000,2.042000,0,0
66,32500,500,1404,2416,1250,2266,1.149000,1.963000,0,0
67,33000,500,1550,2312,1398,2160,1.266000,1.882000,0,0
68,33500,500,1709,2194,1558,2043,1.396000,1.787000,0,0
69,34000,500,1877,2069,1723,1918,1.530000,1.687000,0,0
70,34500,500,2055,1951,1894,1802,1.673000,1.595000,0,0
71,35000,500,2236,1835,2082,1686,1.815000,1.500000,0,0
72,35500,500,2415,1728,2256,1584,1.960000,1.426000,0,0
73,36000,500,2576,1631,2414,1483,2.089000,1.338000,0,0
74,36500,500,2718,1558,2547,1408,2.199000,1.276000,0,0
75,37000,500,2830,1488,2671,1338,2.295000,1.217000,0,0
76,37500,500,2919,1442,2752,1293,2.363000,1.184000,0,0
77,38000,500,2978,1408,2813,1261,2.407000,1.155000,0,0
78,38500,500,3008,1415,2853,1264,2.435000,1.160000,0,0
79,39000,500,3001,1435,2843,1287,2.432000,1.172000,0,0
80,39500,500,2962,1488,2809,1337,2.400000,1.220000,0,0
81,40000,500,2884,1547,2727,1397,2.334000,1.267000,0,0
82,40500,500,2776,1622,2634,1472,2.252000,1.328000,0,0
83,41000,500,2644,1712,2483,1568,2.144000,1.403000,0,0
84,41500,500,2492,1826,2334,1680,2.018000,1.495000,0,0
85,42000,500,2330,1942,2164,1793,1.891000,1.585000,0,0
86,42500,500,2161,2069,2000,1918,1.770000,1.689000,0,0
87,43000,500,1980,2182,1827,2032,1.614000,1.778000,0,0
88,43500,500,1798,2298,1648,2153,1.470000,1.872000,0,0
89,44000,500,1623,2400,1455,2243,1.330000,1.955000,0,0
90,44500,500,1470,2494,1317,2342,1.204000,2.030000,0,0
91,45000,500,1336,2557,1186,2407,1.085000,2.084000,0,0
92,45500,500,1233,2621,1086,2474,1.011000,2.131000,0,0
93,46000,500,1154,2668,992,2515,0.941000,2.169000,0,0
94,46500,500,1102,2689,947,2537,0.905000,2.183000,0,0
95,47000,500,1085,2682,928,2545,0.889000,2.179000,0,0
96,47500,500,1103,2644,944,2480,0.900000,2.148000,0,0
97,48000,500,1155,2589,991,2438,0.944000,2.105000,0,0
98,48500,500,1242,2526,1131,2373,1.018000,2.052000,0,0
99,49000,500,1360,2446,1202,2291,1.109000,1.989000,0,0
100,49500,500,1499,2351,1347,2201,1.224000,1.915000,0,0
101,50000,500,1654,2235,1500,2085,1.349000,1.823000,0,0
102,50500,500,1820,2112,1666,1971,1.483000,1.723000,0,0
103,51000,500,1995,1990,1847,1841,1.624000,1.624000,0,0
104,51500,500,2176,1872,2016,1723,1.765000,1.532000,0,0
105,52000,500,2357,1763,2197,1616,1.917000,1.444000,0,0
106,52500,500,2524,1662,2363,1514,2.037000,1.361000,0,0
107,53000,500,2672,1578,2499,1426,2.157000,1.291000,0,0
108,53500,500,2795,1511,2633,1360,2.262000,1.238000,0,0
109,54000,500,2892,1454,2731,1302,2.343000,1.192000,0,0
110,54500,500,2961,1420,2800,1266,2.395000,1.163000,0,0
111,55000,500,3003,1408,2847,1260,2.438000,1.157000,0,0
112,55500,500,3007,1420,2848,1267,2.436000,1.164000,0,0
113,56000,500,2979,1467,2821,1328,2.419000,1.202000,0,0
114,56500,500,2915,1526,2754,1375,2.359000,1.252000,0,0
115,57000,500,2816,1592,2662,1439,2.281000,1.302000,0,0
116,57500,500,2691,1681,2528,1531,2.177000,1.376000,0,0
117,58000,500,2545,1785,2372,1639,2.059000,1.462000,0,0
118,58500,500,2386,1901,2196,1753,1.936000,1.553000,0,0
119,59000,500,2218,2026,2063,1875,1.804000,1.652000,0,0
120,59500,500,2040,2140,1886,1990,1.662000,1.745000,0,0
121,60000,500,1859,2264,1705,2114,1.521000,1.846000,0,0
122,60500,500,1680,2369,1524,2223,1.371000,1.931000,0,0
123,61000,500,1519,2466,1365,2314,1.238000,2.006000,0,0
124,61500,500,1378,2546,1231,2416,1.131000,2.071000,0,0
125,62000,500,1266,2603,1111,2453,1.036000,2.114000,0,0
126,62500,500,1176,2653,1017,2501,0.966000,2.157000,0,0
127,63000,500,1116,2680,960,2527,0.908000,2.179000,0,0
128,63500,500,1087,2682,933,2533,0.890000,2.179000,0,0
129,64000,500,1094,2657,1007,2509,0.895000,2.163000,0,0
130,64500,500,1133,2607,975,2457,0.928000,2.119000,0,0
131,65000,500,1210,2551,1057,2402,0.993000,2.078000,0,0
132,65500,500,1318,2473,1164,2320,1.078000,2.012000,0,0
133,66000,500,1450,2383,1296,2233,1.164000,1.939000,0,0
134,66500,500,1601,2274,1453,2125,1.308000,1.855000,0,0
135,67000,500,1764,2151,1616,2000,1.441000,1.753000,0,0
136,67500,500,1934,2030,1774,1882,1.577000,1.657000,0,0
137,68000,500,2115,1917,1961,1769,1.717000,1.566000,0,0
138,68500,500,2296,1796,2139,1651,1.856000,1.470000,0,0
139,69000,500,2471,1694,2307,1552,2.006000,1.379000,0,0
140,69500,500,2624,1603,2467,1454,2.123000,1.315000,0,0
141,70000,500,2757,1533,2599,1382,2.236000,1.258000,0,0
142,70500,500,2861,1474,2704,1327,2.322000,1.210000,0,0
143,71000,500,2941,1429,2780,1277,2.373000,1.172000,0,0
144,71500,500,2993,1402,2832,1253,2.424000,1.149000,0,0
145,72000,500,3010,1415,2849,1263,2.439000,1.160000,0,0
146,72500,500,2992,1451,2834,1299,2.425000,1.189000,0,0
147,73000,500,2940,1506,2774,1355,2.382000,1.234000,0,0
148,73500,500,2853,1572,2695,1424,2.312000,1.288000,0,0
149,74000,500,2736,1647,2559,1498,2.221000,1.346000,0,0
150,74500,500,2596,1746,2437,1599,2.103000,1.431000,0,0
151,75000,500,2441,1865,2283,1717,1.976000,1.525000,0,0
152,75500,500,2275,1983,2119,1835,1.845000,1.619000,0,0
153,76000,500,2102,2106,1953,1956,1.704000,1.717000,0,0
154,76500,500,1920,2221,1754,2073,1.562000,1.814000,0,0
155,77000,500,1738,2332,1589,2184,1.418000,1.899000,0,0
156,77500,500,1570,2430,1414,2278,1.289000,1.979000,0,0
157,78000,500,1423,2517,1278,2367,1.160000,2.047000,0,0
158,78500,500,1300,2582,1146,2433,1.065000,2.100000,0,0
159,79000,500,1202,2635,1046,2481,1.001000,2.143000,0,0
160,79500,500,1133,2676,973,2530,0.928000,2.177000,0,0
161,80000,500,1091,2689,929,2534,0.893000,2.188000,0,0
162,80500,500,1088,2673,933,2519,0.882000,2.173000,0,0
163,81000,500,1116,2625,951,2475,0.916000,2.132000,0,0
164,81500,500,1181,2569,1018,2417,0.963000,2.090000,0,0
165,82000,500,1278,2503,1127,2352,1.044000,2.037000,0,0
166,82500,500,1403,2416,1249,2265,1.147000,1.965000,0,0
167,83000,500,1549,2314,1396,2160,1.267000,1.887000,0,0
168,83500,500,1707,2196,1554,2042,1.396000,1.788000,0,0
169,84000,500,1875,2073,1726,1921,1.527000,1.691000,0,0
170,84500,500,2054,1956,1893,1804,1.671000,1.599000,0,0
171,85000,500,2234,2089,2078,1937,1.816000,1.704000,0,0
172,85500,500,2378,1994,2224,1842,1.932000,1.626000,0,0
173,86000,500,2525,2092,2375,1942,2.071000,1.704000,0,0
174,86500,500,2680,2160,2506,2010,2.183000,1.758000,0,0
175,87000,500,2763,2344,2608,2194,2.241000,1.908000,0,0
176,87500,500,2842,2498,2678,2349,2.307000,2.033000,0,0
177,88000,500,2900,2655,2736,2502,2.351000,2.160000,0,0
178,88500,500,2920,2882,2759,2731,2.365000,2.346000,0,0
179,89000,500,2911,3062,2755,2917,2.368000,2.486000,0,0
180,89500,500,2883,3236,2721,3109,2.335000,2.618000,0,0
181,90000,500,2818,3395,2657,3294,2.287000,2.733000,0,0
182,90500,500,2726,3572,2559,3520,2.204000,2.871000,0,0
183,91000,500,2608,3718,2445,3755,2.113000,2.986000,0,0
184,91500,500,2475,3833,2310,3958,1.999000,3.073000,0,0
185,92000,500,2334,3879,2177,4033,1.889000,3.110000,0,0
186,92500,500,2182,3926,2021,4095,1.772000,3.134000,0,0
187,93000,500,2022,3884,1865,4045,1.648000,3.113000,0,0
188,93500,500,1858,3829,1705,3947,1.521000,3.068000,0,0
189,94000,500,1697,3700,1535,3723,1.379000,2.969000,0,0
190,94500,500,1556,3581,1402,3537,1.271000,2.877000,0,0
