sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI,mode
0,82000,0,1655,2233,1498,2087,1.346000,1.822000,0,0,PRE
1,82500,500,1822,2115,1666,1967,1.488000,1.725000,0,0,PRE
2,83000,500,1996,1994,1840,1840,1.620000,1.628000,0,0,PRE
3,83500,500,2177,1872,2012,1723,1.765000,1.529000,0,0,PRE
4,84000,500,2358,1760,2198,1611,1.913000,1.441000,0,0,PRE
5,84500,500,2525,1660,2363,1509,2.047000,1.358000,0,0,PRE
6,85000,500,2673,1579,2503,1428,2.165000,1.290000,0,0,PRE
7,85500,500,2796,1513,2634,1361,2.261000,1.238000,0,0,PRE
8,86000,500,2893,1456,2734,1306,2.344000,1.189000,0,0,PRE
9,86500,500,2961,1419,2801,1266,2.398000,1.163000,0,0,PRE
10,87000,500,3003,1411,2843,1263,2.429000,1.157000,0,0,PRE
11,87500,500,3007,1420,2848,1267,2.455000,1.163000,0,0,PRE
12,88000,500,2979,1465,2869,1314,2.412000,1.199000,0,0,PRE
13,88500,500,2913,1528,2755,1378,2.357000,1.251000,0,0,PRE
14,89000,500,2815,1595,2646,1443,2.280000,1.306000,0,0,PRE
15,89500,500,2690,1685,2523,1534,2.178000,1.377000,0,0,PRE
16,90000,500,2544,1781,2368,1633,2.063000,1.458000,0,0,PRE
17,90500,500,2385,1905,2227,1755,1.934000,1.556000,0,0,PRE
18,91000,500,2218,2026,2064,1874,1.802000,1.650000,0,0,PRE
19,91500,500,2039,2144,1878,1994,1.656000,1.748000,0,0,PRE
20,92000,500,1858,2266,1701,2118,1.514000,1.852000,0,0,PRE
21,92500,500,1679,2367,1521,2217,1.367000,1.926000,0,0,PRE
22,93000,500,1518,2466,1360,2313,1.240000,1.996000,0,0,PRE
23,93500,500,1377,2541,1218,2389,1.126000,2.066000,0,0,PRE
24,94000,500,1265,2603,1091,2449,1.035000,2.115000,0,0,PRE
25,94500,500,1176,2653,1020,2491,0.959000,2.157000,0,0,PRE
26,95000,500,1115,2685,960,2531,0.912000,2.183000,0,0,PRE
27,95500,500,1087,2684,927,2531,0.887000,2.179000,0,0,PRE
28,96000,500,1094,2662,932,2510,0.895000,2.164000,0,0,PRE
29,96500,500,1133,2605,971,2453,0.927000,2.118000,0,0,PRE
30,97000,500,1211,2548,1055,2398,0.991000,2.074000,0,0,PRE
31,97500,500,1319,2475,1167,2320,1.081000,2.013000,0,0,PRE
32,98000,500,1451,2385,1294,2231,1.186000,1.943000,0,0,PRE
33,98500,500,1602,2269,1449,2121,1.341000,1.849000,0,0,PRE
34,99000,500,1766,2155,1615,2002,1.443000,1.753000,0,0,PRE
35,99500,500,1935,2030,1776,1877,1.573000,1.656000,0,0,PRE
36,100000,500,2115,1913,1964,1763,1.719000,1.564000,0,0,PRE
37,100500,500,2297,1796,2133,1649,1.858000,1.495000,0,0,PRE
38,101000,500,2472,1697,2316,1535,2.004000,1.379000,0,0,PRE
39,101500,500,2625,1603,2462,1451,2.143000,1.313000,0,0,PRE
40,102000,500,2759,1535,2601,1386,2.241000,1.258000,0,0,PRE
41,102500,500,2862,1469,2695,1317,2.320000,1.203000,0,0,PRE
42,103000,500,2941,1429,2779,1277,2.380000,1.171000,0,0,PRE
43,103500,500,2993,1406,2833,1254,2.424000,1.151000,0,0,PRE
44,104000,500,3010,1411,2850,1261,2.438000,1.158000,0,0,PRE
45,104500,500,2992,1454,2832,1302,2.423000,1.190000,0,0,PRE
46,105000,500,2939,1506,2773,1355,2.382000,1.234000,0,0,PRE
47,105500,500,2851,1569,2694,1419,2.312000,1.284000,0,0,PRE
48,106000,500,2734,1653,2559,1502,2.204000,1.351000,0,0,PRE
49,106500,500,2595,1747,2433,1600,2.100000,1.431000,0,0,PRE
50,107000,500,2440,1862,2277,1712,1.982000,1.521000,0,0,PRE
51,107500,500,2274,1987,2115,1835,1.843000,1.620000,0,0,PRE
52,108000,500,2100,2106,1943,1956,1.685000,1.715000,0,0,PRE
53,108500,500,1919,2221,1773,2071,1.559000,1.810000,0,0,PRE
54,109000,500,1738,2333,1587,2187,1.419000,1.900000,0,0,PRE
55,109500,500,1570,2432,1419,2279,1.284000,1.980000,0,0,PRE
