sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI
1,0,0,1655,2188,1510,2045,1.359000,1.790000,0,0
2,500,500,1822,2099,1677,1959,1.487000,1.720000,0,0
3,1000,500,1996,2007,1857,1866,1.632000,1.646000,0,0
4,1500,500,2177,1915,2027,1761,1.776000,1.573000,0,0
5,2000,500,2358,1830,2206,1692,1.922000,1.504000,0,0
6,2500,500,2525,1754,2373,1616,2.055000,1.444000,0,0
7,3000,500,2673,1693,2517,1566,2.170000,1.395000,0,0
8,3500,500,2796,1643,2641,1503,2.269000,1.350000,0,0
9,4000,500,2893,1599,2736,1457,2.346000,1.319000,0,0
10,4500,500,2961,1571,2813,1425,2.410000,1.291000,0,0
11,5000,500,3003,1566,2850,1424,2.436000,1.290000,0,0
12,5500,500,3007,1572,2863,1433,2.442000,1.294000,0,0
13,6000,500,2979,1606,2829,1465,2.399000,1.320000,0,0
14,6500,500,2913,1654,2763,1516,2.368000,1.362000,0,0
15,7000,500,2815,1705,2667,1567,2.289000,1.404000,0,0
16,7500,500,2690,1773,2527,1637,2.181000,1.452000,0,0
17,8000,500,2544,1846,2390,1709,2.071000,1.516000,0,0
18,8500,500,2385,1939,2235,1797,1.946000,1.591000,0,0
19,9000,500,2218,2031,2073,1891,1.810000,1.665000,0,0
20,9500,500,2039,2121,1889,1981,1.662000,1.738000,0,0
21,10000,500,1858,2213,1713,2075,1.522000,1.810000,0,0
22,10500,500,1679,2290,1606,2149,1.392000,1.873000,0,0
23,11000,500,1518,2364,1389,2223,1.247000,1.934000,0,0
24,11500,500,1377,2421,1231,2278,1.135000,1.977000,0,0
25,12000,500,1265,2469,1116,2324,1.039000,2.012000,0,0
26,12500,500,1176,2506,1035,2362,0.965000,2.045000,0,0
27,13000,500,1115,2531,964,2373,0.921000,2.063000,0,0
28,13500,500,1087,2529,939,2384,0.899000,2.063000,0,0
29,14000,500,1094,2513,960,2368,0.903000,2.050000,0,0
30,14500,500,1133,2470,991,2324,0.933000,2.015000,0,0
31,15000,500,1211,2427,1068,2286,1.021000,1.981000,0,0
32,15500,500,1319,2371,1173,2226,1.090000,1.939000,0,0
33,16000,500,1451,2303,1301,2161,1.189000,1.882000,0,0
34,16500,500,1602,2215,1456,2078,1.317000,1.815000,0,0
