sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI
1,0,0,1655,2188,1509,2032,1.354000,1.781000,0,0
2,500,500,1822,2099,1680,1952,1.489000,1.713000,0,0
3,1000,500,1996,2007,1843,1869,1.629000,1.634000,0,0
4,1500,500,2177,1915,2025,1775,1.771000,1.568000,0,0
5,2000,500,2358,1830,2207,1684,1.916000,1.503000,0,0
6,2500,500,2525,1754,2367,1609,2.050000,1.448000,0,0
7,3000,500,2673,1693,2509,1535,2.166000,1.393000,0,0
8,3500,500,2796,1643,2641,1507,2.271000,1.354000,0,0
9,4000,500,2893,1599,2736,1455,2.346000,1.311000,0,0
10,4500,500,2962,1571,2809,1429,2.390000,1.295000,0,0
11,5000,500,3003,1566,2848,1427,2.437000,1.292000,0,0
12,5500,500,3007,1572,2858,1427,2.440000,1.292000,0,0
13,6000,500,2979,1606,2821,1471,2.419000,1.303000,0,0
14,6500,500,2914,1654,2766,1510,2.359000,1.361000,0,0
15,7000,500,2816,1705,2665,1575,2.274000,1.402000,0,0
16,7500,500,2690,1773,2538,1623,2.183000,1.458000,0,0
17,8000,500,2544,1846,2403,1706,2.065000,1.519000,0,0
18,8500,500,2385,1939,2234,1808,1.939000,1.580000,0,0
19,9000,500,2218,2031,2065,1883,1.810000,1.650000,0,0
20,9500,500,2039,2121,1887,1969,1.662000,1.729000,0,0
21,10000,500,1858,2213,1712,2064,1.521000,1.806000,0,0
22,10500,500,1679,2290,1527,2134,1.376000,1.871000,0,0
23,11000,500,1518,2364,1370,2212,1.242000,1.924000,0,0
24,11500,500,1377,2421,1230,2259,1.126000,1.976000,0,0
25,12000,500,1264,2469,1110,2317,1.028000,2.000000,0,0
26,12500,500,1176,2506,1023,2350,0.972000,2.035000,0,0
27,13000,500,1115,2531,960,2383,0.917000,2.060000,0,0
28,13500,500,1086,2529,934,2380,0.892000,2.063000,0,0
29,14000,500,1094,2513,940,2371,0.899000,2.038000,0,0
30,14500,500,1133,2470,977,2315,0.927000,2.005000,0,0
31,15000,500,1210,2427,1075,2269,1.001000,1.973000,0,0
32,15500,500,1318,2371,1175,2223,1.083000,1.928000,0,0
33,16000,500,1450,2303,1299,2149,1.186000,1.872000,0,0
34,16500,500,1602,2215,1456,2058,1.315000,1.806000,0,0
35,17000,500,1766,2129,1617,1984,1.446000,1.736000,0,0
36,17500,500,1935,2034,1785,1891,1.633000,1.662000,0,0
37,18000,500,2115,1946,1968,1795,1.723000,1.594000,0,0
38,18500,500,2297,1857,2144,1714,1.871000,1.520000,0,0
39,19000,500,2472,1782,2318,1631,2.009000,1.470000,0,0
40,19500,500,2626,1710,2464,1561,2.129000,1.410000,0,0
41,20000,500,2759,1659,2607,1518,2.241000,1.357000,0,0
42,20500,500,2862,1609,2704,1453,2.320000,1.315000,0,0
43,21000,500,2941,1579,2783,1435,2.382000,1.293000,0,0
44,21500,500,2994,1562,2839,1415,2.415000,1.288000,0,0
45,22000,500,3010,1566,2857,1408,2.442000,1.289000,0,0
46,22500,500,2992,1598,2835,1458,2.424000,1.306000,0,0
47,23000,500,2940,1637,2783,1489,2.386000,1.345000,0,0
48,23500,500,2852,1685,2691,1535,2.316000,1.379000,0,0
49,24000,500,2735,1748,2559,1613,2.204000,1.441000,0,0
50,24500,500,2595,1820,2437,1691,2.103000,1.497000,0,0
51,25000,500,2440,1907,2288,1775,2.016000,1.552000,0,0
52,25500,500,2274,2001,2115,1854,1.848000,1.636000,0,0
53,26000,500,2100,2092,1947,1947,1.704000,1.710000,0,0
54,26500,500,1919,2179,1755,2023,1.567000,1.779000,0,0
55,27000,500,1737,2264,1622,2119,1.421000,1.845000,0,0
56,27500,500,1569,2339,1419,2183,1.285000,1.908000,0,0
57,28000,500,1422,2404,1274,2251,1.168000,1.955000,0,0
58,28500,500,1299,2455,1152,2295,1.069000,1.998000,0,0
59,29000,500,1202,2497,1053,2342,0.989000,2.034000,0,0
60,29500,500,1133,2525,978,2363,0.931000,2.049000,0,0
61,30000,500,1091,2532,942,2363,0.900000,2.063000,0,0
62,30500,500,1088,2521,944,2365,0.897000,2.044000,0,0
63,31000,500,1116,2487,958,2329,0.917000,2.016000,0,0
64,31500,500,1181,2446,1036,2284,0.972000,1.985000,0,0
65,32000,500,1278,2394,1131,2240,1.049000,1.946000,0,0
66,32500,500,1403,2326,1252,2179,1.149000,1.903000,0,0
67,33000,500,1550,2248,1399,2109,1.264000,1.822000,0,0
68,33500,500,1709,2159,1559,2003,1.400000,1.756000,0,0
69,34000,500,1877,2064,1728,1913,1.527000,1.689000,0,0
70,34500,500,2055,1974,1881,1833,1.680000,1.615000,0,0
71,35000,500,2236,1886,2087,1738,1.821000,1.549000,0,0
72,35500,500,2416,1805,2264,1667,1.967000,1.484000,0,0
73,36000,500,2576,1732,2421,1598,2.096000,1.424000,0,0
74,36500,500,2718,1677,2557,1533,2.204000,1.379000,0,0
75,37000,500,2830,1624,2673,1485,2.295000,1.334000,0,0
76,37500,500,2919,1589,2763,1452,2.370000,1.308000,0,0
77,38000,500,2979,1563,2821,1431,2.397000,1.289000,0,0
78,38500,500,3008,1568,2849,1421,2.436000,1.282000,0,0
79,39000,500,3001,1583,2850,1439,2.437000,1.296000,0,0
80,39500,500,2963,1624,2816,1484,2.400000,1.335000,0,0
81,40000,500,2885,1668,2731,1516,2.357000,1.371000,0,0
82,40500,500,2777,1725,2624,1581,2.261000,1.427000,0,0
