sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI
0,0,0,1655,2233,1498,2079,1.341000,1.814000,0,0
1,500,500,1822,2115,1667,1957,1.483000,1.716000,0,0
2,1000,500,1996,1994,1833,1839,1.620000,1.624000,0,0
3,1500,500,2177,1872,2007,1715,1.764000,1.527000,0,0
4,2000,500,2358,1760,2190,1608,1.908000,1.437000,0,0
5,2500,500,2525,1660,2354,1501,2.044000,1.355000,0,0
6,3000,500,2673,1579,2499,1425,2.155000,1.286000,0,0
7,3500,500,2796,1513,2645,1361,2.256000,1.238000,0,0
8,4000,500,2893,1456,2721,1297,2.333000,1.187000,0,0
9,4500,500,2961,1419,2791,1264,2.389000,1.164000,0,0
10,5000,500,3003,1411,2833,1259,2.424000,1.152000,0,0
11,5500,500,3007,1420,2839,1265,2.432000,1.164000,0,0
12,6000,500,2979,1465,2811,1314,2.407000,1.198000,0,0
13,6500,500,2913,1528,2751,1381,2.349000,1.250000,0,0
14,7000,500,2815,1595,2643,1439,2.273000,1.301000,0,0
15,7500,500,2690,1685,2514,1530,2.167000,1.371000,0,0
16,8000,500,2544,1781,2370,1628,2.062000,1.453000,0,0
17,8500,500,2385,1905,2211,1751,1.930000,1.554000,0,0
18,9000,500,2218,2026,2059,1872,1.802000,1.650000,0,0
19,9500,500,2039,2144,1874,1984,1.650000,1.740000,0,0
20,10000,500,1858,2266,1701,2112,1.507000,1.839000,0,0
21,10500,500,1679,2367,1519,2209,1.367000,1.921000,0,0
22,11000,500,1518,2466,1366,2313,1.238000,1.996000,0,0
23,11500,500,1377,2541,1217,2384,1.121000,2.054000,0,0
24,12000,500,1265,2603,1103,2445,1.031000,2.107000,0,0
25,12500,500,1176,2653,1012,2491,0.956000,2.150000,0,0
26,13000,500,1115,2685,955,2525,0.911000,2.178000,0,0
27,13500,500,1087,2684,925,2519,0.889000,2.178000,0,0
28,14000,500,1094,2662,933,2502,0.900000,2.162000,0,0
29,14500,500,1133,2605,969,2441,0.928000,2.114000,0,0
30,15000,500,1211,2548,1058,2388,0.988000,2.065000,0,0
31,15500,500,1319,2475,1158,2318,1.081000,2.007000,0,0
32,16000,500,1451,2385,1291,2226,1.184000,1.935000,0,0
33,16500,500,1655,2233,1498,2082,1.343000,1.813000,0,0
