sample_idx,applied_us,dt_us,flags,dac0,dac1,dac2,dac3,adc34,adc35
0,2088485,0,2,1213,2251,2048,2048,1075,2115
1,2099890,500,0,1568,2122,2048,2048,1392,1984
2,2109500,500,0,1938,1990,2048,2048,1662,1853
3,2118778,500,0,2323,1857,2048,2048,1898,1727
4,2128321,500,0,2709,1734,2048,2048,2119,1600
5,2137965,500,0,3064,1625,2048,2048,2313,1487
6,2147542,500,0,3378,1537,2048,2048,2480,1401
7,2157140,500,0,3640,1465,2048,2048,2627,1328
8,2166664,500,0,3846,1403,2048,2048,2737,1263
9,2176260,500,0,3993,1362,2048,2048,2823,1220
10,2189690,500,0,4081,1354,2048,2048,2824,1216
11,2199288,500,0,4089,1364,2048,2048,2822,1226
12,2208890,500,0,4029,1413,2048,2048,2826,1275
13,2218493,500,0,3891,1481,2048,2048,2763,1342
14,2228103,500,0,3682,1555,2048,2048,2649,1419
15,2253243,500,0,3415,1652,2048,2048,2499,1517
16,2262869,500,0,3104,1758,2048,2048,2337,1621
17,2297936,500,0,2765,1892,2048,2048,2149,1754
18,2307975,500,0,2410,2025,2048,2048,1948,1886
19,2317677,500,0,2029,2153,2048,2048,1729,2013
20,2327268,500,0,1644,2286,2048,2048,1473,2146
21,2340997,500,0,1264,2397,2048,2048,1124,2257
22,2350854,500,0,922,2504,2048,2048,784,2364
23,2360548,500,0,621,2586,2048,2048,486,2445
24,2397041,500,0,382,2654,2048,2048,247,2512
25,2406748,500,0,193,2709,2048,2048,64,2559
26,2416597,500,0,65,2744,2048,2048,0,2607
27,2426360,500,0,3,2742,2048,2048,0,2604
28,2436282,500,0,19,2718,2048,2048,0,2559
29,2445921,500,0,102,2656,2048,2048,0,2514
30,2455766,500,0,267,2594,2048,2048,135,2451
31,2465336,500,0,497,2514,2048,2048,362,2374
32,2478957,500,0,778,2416,2048,2048,640,2271
33,2488727,500,0,1101,2290,2048,2048,949,2153
34,2498381,500,0,1448,2165,2048,2048,1264,2027
35,2523158,500,0,1809,2029,2048,2048,1574,1889
36,2532556,500,0,2192,1902,2048,2048,1817,1766
37,2542064,500,0,2579,1773,2048,2048,2039,1637
38,2551387,500,0,2951,1666,2048,2048,2247,1527
39,2560783,500,0,3278,1563,2048,2048,2426,1424
40,2570086,500,0,3562,1489,2048,2048,2583,1351
41,2579607,500,0,3781,1417,2048,2048,2703,1278
42,2588978,500,0,3949,1374,2048,2048,2797,1234
43,2602138,500,0,4061,1348,2048,2048,2822,1207
44,2611668,500,0,4095,1354,2048,2048,2809,1213
45,2646724,500,0,4058,1401,2048,2048,2802,1263
46,2656300,500,0,3945,1458,2048,2048,2791,1321
47,2665492,500,0,3758,1526,2048,2048,2692,1388
48,2675055,500,0,3510,1617,2048,2048,2551,1479
49,2684264,500,0,3213,1721,2048,2048,2393,1585
50,2693816,500,0,2884,1845,2048,2048,2215,1711
51,2703016,500,0,2530,1982,2048,2048,2017,1841
52,2712523,500,0,2160,2112,2048,2048,1808,1971
53,2725714,500,0,1774,2237,2048,2048,1569,2103
54,2735146,500,0,1388,2360,2048,2048,1244,2221
55,2784504,500,0,1031,2467,2048,2048,892,2325
56,2794113,500,0,718,2560,2048,2048,581,2417
57,2803436,500,0,455,2635,2048,2048,320,2494
58,2812913,500,0,249,2695,2048,2048,119,2553
59,2822631,500,0,103,2736,2048,2048,3,2595
60,2832213,500,0,14,2746,2048,2048,0,2608
61,2841524,500,0,6,2730,2048,2048,0,2590
62,2851078,500,0,67,2681,2048,2048,0,2541
63,2860361,500,0,205,2621,2048,2048,79,2480
64,2869805,500,0,412,2547,2048,2048,275,2407
65,2883371,500,0,678,2449,2048,2048,528,2309
66,2892855,500,0,989,2336,2048,2048,846,2195
67,2902093,500,0,1328,2208,2048,2048,1158,2071
68,2911587,500,0,1686,2071,2048,2048,1471,1932
69,2920823,500,0,2065,1943,2048,2048,1739,1805
70,2930332,500,0,2450,1816,2048,2048,1968,1680
71,2939780,500,0,2831,1699,2048,2048,2185,1566
