sample_number,timestamp_ticks,dt_us,flags,dac0_code,dac1_code,dac2_code,dac3_code,dac0_src_channel,dac0_src_name,dac0_unit,dac0_real_value,dac0_fullscale,dac1_src_channel,dac1_src_name,dac1_unit,dac1_real_value,dac1_fullscale,dac2_src_channel,dac2_src_name,dac2_unit,dac2_real_value,dac2_fullscale,dac3_src_channel,dac3_src_name,dac3_unit,dac3_real_value,dac3_fullscale
1,0,0,2,1213,2251,2048,2048,1,VCY,kV,-76.851561,188.571808,2,ICW,A,158.770768,1604.500742,,,,,,,,,,
2,500,500,0,1568,2122,2048,2048,1,VCY,kV,-44.181251,188.571808,2,ICW,A,58.012396,1604.500742,,,,,,,,,,
3,1000,500,0,1938,1990,2048,2048,1,VCY,kV,-10.136956,188.571808,2,ICW,A,-45.799260000000004,1604.500742,,,,,,,,,,
4,1500,500,0,2323,1857,2048,2048,1,VCY,kV,25.311857,188.571808,2,ICW,A,-149.610916,1604.500742,,,,,,,,,,
5,2000,500,0,2709,1734,2048,2048,1,VCY,kV,60.821736,188.571808,2,ICW,A,-245.789362,1604.500742,,,,,,,,,,
6,2500,500,0,3064,1625,2048,2048,1,VCY,kV,93.583645,188.571808,2,ICW,A,-331.281314,1604.500742,,,,,,,,,,
7,3000,500,0,3378,1537,2048,2048,1,VCY,kV,122.498396,188.571808,2,ICW,A,-399.980204,1604.500742,,,,,,,,,,
8,3500,500,0,3640,1465,2048,2048,1,VCY,kV,146.61946600000002,188.571808,2,ICW,A,-456.465958,1604.500742,,,,,,,,,,
9,4000,500,0,3846,1403,2048,2048,1,VCY,kV,165.58045900000002,188.571808,2,ICW,A,-505.318502,1604.500742,,,,,,,,,,
10,4500,500,0,3993,1362,2048,2048,1,VCY,kV,179.045512,188.571808,2,ICW,A,-537.377984,1604.500742,,,,,,,,,,
11,5000,500,0,4081,1354,2048,2048,1,VCY,kV,187.197823,188.571808,2,ICW,A,-543.484552,1604.500742,,,,,,,,,,
12,5500,500,0,4089,1364,2048,2048,1,VCY,kV,187.93061500000002,188.571808,2,ICW,A,-535.851342,1604.500742,,,,,,,,,,
13,6000,500,0,4029,1413,2048,2048,1,VCY,kV,182.434675,188.571808,2,ICW,A,-497.685292,1604.500742,,,,,,,,,,
14,6500,500,0,3891,1481,2048,2048,1,VCY,kV,169.671881,188.571808,2,ICW,A,-444.25282200000004,1604.500742,,,,,,,,,,
15,7000,500,0,3682,1555,2048,2048,1,VCY,kV,150.436091,188.571808,2,ICW,A,-386.240426,1604.500742,,,,,,,,,,
16,7500,500,0,3415,1652,2048,2048,1,VCY,kV,125.826493,188.571808,2,ICW,A,-309.908326,1604.500742,,,,,,,,,,
17,8000,500,0,3104,1758,2048,2048,1,VCY,kV,97.24760500000001,188.571808,2,ICW,A,-227.469658,1604.500742,,,,,,,,,,
18,8500,500,0,2765,1892,2048,2048,1,VCY,kV,66.042879,188.571808,2,ICW,A,-122.13136,1604.500742,,,,,,,,,,
