tx_index,host_t_s,mode,run_id,event,seq,t_us,dt_us,dacV_code,dacI_code,engV,engI,clipV,clipI,flags
1,1773423068.156533,idle,0,idle_after_connect,-1,0,0,2048,2048,0.000000,0.000000,0,0,3
2,1773423068.158529,idle,0,idle_command,-1,0,0,2048,2048,0.000000,0.000000,0,0,3
3,1773423068.158541,idle,0,idle_span,-1,0,1993,2048,2048,0.000000,0.000000,0,0,3
4,1773423080.403622,test_sine,1,sample,0,0,556,2048,2048,1.650000,1.650000,0,0,0
5,1773423080.403731,test_sine,1,sample,1,556,556,2434,2434,1.961868,1.961868,0,0,0
6,1773423080.403760,test_sine,1,sample,2,1112,556,2805,2805,2.260105,2.260105,0,0,0
7,1773423080.403779,test_sine,1,sample,3,1668,556,3142,3142,2.531678,2.531678,0,0,0
8,1773423080.403796,test_sine,1,sample,4,2224,556,3431,3431,2.764717,2.764717,0,0,0
9,1773423080.403812,test_sine,1,sample,5,2780,556,3659,3659,2.949038,2.949038,0,0,0
10,1773423080.403829,test_sine,1,sample,6,3336,556,3818,3818,3.076585,3.076585,0,0,0
11,1773423080.403844,test_sine,1,sample,7,3892,556,3899,3899,3.141783,3.141783,0,0,0
12,1773423080.403860,test_sine,1,sample,8,4448,556,3899,3899,3.141783,3.141783,0,0,0
13,1773423080.403876,test_sine,1,sample,9,5004,556,3818,3818,3.076585,3.076585,0,0,0
14,1773423080.403890,test_sine,1,sample,10,5560,556,3659,3659,2.949038,2.949038,0,0,0
15,1773423080.403906,test_sine,1,sample,11,6116,556,3431,3431,2.764717,2.764717,0,0,0
16,1773423080.403922,test_sine,1,sample,12,6672,556,3142,3142,2.531678,2.531678,0,0,0
17,1773423080.403937,test_sine,1,sample,13,7228,556,2805,2805,2.260105,2.260105,0,0,0
18,1773423080.403952,test_sine,1,sample,14,7784,556,2434,2434,1.961868,1.961868,0,0,0
19,1773423080.403967,test_sine,1,sample,15,8340,556,2048,2048,1.650000,1.650000,0,0,0
20,1773423080.403982,test_sine,1,sample,16,8896,556,1661,1661,1.338132,1.338132,0,0,0
21,1773423080.404266,test_sine,1,sample,17,9452,556,1290,1290,1.039895,1.039895,0,0,0
22,1773423080.404331,test_sine,1,sample,18,10008,556,953,953,0.768322,0.768322,0,0,0
23,1773423080.404359,test_sine,1,sample,19,10564,556,664,664,0.535283,0.535283,0,0,0
24,1773423080.405750,test_sine,1,sample,20,11120,556,436,436,0.350962,0.350962,0,0,0
25,1773423080.405825,test_sine,1,sample,21,11676,556,277,277,0.223415,0.223415,0,0,0
26,1773423080.405854,test_sine,1,sample,22,12232,556,196,196,0.158217,0.158217,0,0,0
27,1773423080.405895,test_sine,1,sample,23,12788,556,196,196,0.158217,0.158217,0,0,0
28,1773423080.405915,test_sine,1,sample,24,13344,556,277,277,0.223415,0.223415,0,0,0
29,1773423080.405931,test_sine,1,sample,25,13900,556,436,436,0.350962,0.350962,0,0,0
30,1773423080.406833,test_sine,1,sample,26,14456,556,664,664,0.535283,0.535283,0,0,0
31,1773423080.406916,test_sine,1,sample,27,15012,556,953,953,0.768322,0.768322,0,0,0
32,1773423080.406946,test_sine,1,sample,28,15568,556,1290,1290,1.039895,1.039895,0,0,0
33,1773423080.406966,test_sine,1,sample,29,16124,556,1661,1661,1.338132,1.338132,0,0,0
34,1773423080.406984,test_sine,1,sample,30,16680,556,2047,2047,1.650000,1.650000,0,0,0
35,1773423080.407001,test_sine,1,sample,31,17236,556,2434,2434,1.961868,1.961868,0,0,0
36,1773423080.411181,test_sine,1,sample,32,17792,556,2805,2805,2.260105,2.260105,0,0,0
37,1773423080.411254,test_sine,1,sample,33,18348,556,3142,3142,2.531678,2.531678,0,0,0
38,1773423080.411303,test_sine,1,sample,34,18904,556,3431,3431,2.764717,2.764717,0,0,0
39,1773423080.411333,test_sine,1,sample,35,19460,556,3659,3659,2.949038,2.949038,0,0,0
40,1773423080.411533,test_sine,1,sample,36,20016,556,3818,3818,3.076585,3.076585,0,0,0
41,1773423080.411612,test_sine,1,sample,37,20572,556,3899,3899,3.141783,3.141783,0,0,0
42,1773423080.411634,test_sine,1,sample,38,21128,556,3899,3899,3.141783,3.141783,0,0,0
43,1773423080.411649,test_sine,1,sample,39,21684,556,3818,3818,3.076585,3.076585,0,0,0
44,1773423080.411663,test_sine,1,sample,40,22240,556,3659,3659,2.949038,2.949038,0,0,0
45,1773423080.411677,test_sine,1,sample,41,22796,556,3431,3431,2.764717,2.764717,0,0,0
46,1773423080.411690,test_sine,1,sample,42,23352,556,3142,3142,2.531678,2.531678,0,0,0
47,1773423080.411712,test_sine,1,sample,43,23908,556,2805,2805,2.260105,2.260105,0,0,0
48,1773423080.411725,test_sine,1,sample,44,24464,556,2434,2434,1.961868,1.961868,0,0,0
49,1773423080.411739,test_sine,1,sample,45,25020,556,2048,2048,1.650000,1.650000,0,0,0
50,1773423080.411752,test_sine,1,sample,46,25576,556,1661,1661,1.338132,1.338132,0,0,0
51,1773423080.411766,test_sine,1,sample,47,26132,556,1290,1290,1.039895,1.039895,0,0,0
52,1773423080.411781,test_sine,1,sample,48,26688,556,953,953,0.768322,0.768322,0,0,0
53,1773423080.411794,test_sine,1,sample,49,27244,556,664,664,0.535283,0.535283,0,0,0
54,1773423080.412033,test_sine,1,sample,50,27800,556,436,436,0.350962,0.350962,0,0,0
55,1773423080.412092,test_sine,1,sample,51,28356,556,277,277,0.223415,0.223415,0,0,0
56,1773423080.414092,test_sine,1,sample,52,28912,556,196,196,0.158217,0.158217,0,0,0
57,1773423080.414151,test_sine,1,sample,53,29468,556,196,196,0.158217,0.158217,0,0,0
58,1773423080.414177,test_sine,1,sample,54,30024,556,277,277,0.223415,0.223415,0,0,0
59,1773423080.414197,test_sine,1,sample,55,30580,556,436,436,0.350962,0.350962,0,0,0
60,1773423080.414213,test_sine,1,sample,56,31136,556,664,664,0.535283,0.535283,0,0,0
61,1773423080.414227,test_sine,1,sample,57,31692,556,953,953,0.768322,0.768322,0,0,0
62,1773423080.414242,test_sine,1,sample,58,32248,556,1290,1290,1.039895,1.039895,0,0,0
63,1773423080.414255,test_sine,1,sample,59,32804,556,1661,1661,1.338132,1.338132,0,0,0
64,1773423080.414269,test_sine,1,sample,60,33360,556,2047,2047,1.650000,1.650000,0,0,0
65,1773423080.414933,test_sine,1,sample,61,33916,556,2434,2434,1.961868,1.961868,0,0,0
66,1773423080.415030,test_sine,1,sample,62,34472,556,2805,2805,2.260105,2.260105,0,0,0
67,1773423080.415070,test_sine,1,sample,63,35028,556,3142,3142,2.531678,2.531678,0,0,0
68,1773423080.421870,test_sine,1,sample,64,35584,556,3431,3431,2.764717,2.764717,0,0,0
69,1773423080.421923,test_sine,1,sample,65,36140,556,3659,3659,2.949038,2.949038,0,0,0
70,1773423080.421956,test_sine,1,sample,66,36696,556,3818,3818,3.076585,3.076585,0,0,0
71,1773423080.421972,test_sine,1,sample,67,37252,556,3899,3899,3.141783,3.141783,0,0,0
72,1773423080.421987,test_sine,1,sample,68,37808,556,3899,3899,3.141783,3.141783,0,0,0
73,1773423080.422001,test_sine,1,sample,69,38364,556,3818,3818,3.076585,3.076585,0,0,0
74,1773423080.422016,test_sine,1,sample,70,38920,556,3659,3659,2.949038,2.949038,0,0,0
75,1773423080.422030,test_sine,1,sample,71,39476,556,3431,3431,2.764717,2.764717,0,0,0
76,1773423080.422044,test_sine,1,sample,72,40032,556,3142,3142,2.531678,2.531678,0,0,0
77,1773423080.422059,test_sine,1,sample,73,40588,556,2805,2805,2.260105,2.260105,0,0,0
78,1773423080.422077,test_sine,1,sample,74,41144,556,2434,2434,1.961868,1.961868,0,0,0
79,1773423080.422092,test_sine,1,sample,75,41700,556,2048,2048,1.650000,1.650000,0,0,0
