dev_t_s,dev_t_us,seq,adc_34,adc_35,v_inst,i_inst,v1_mag,i1_mag,v1_angle_deg,i1_angle_deg,vi_angle_deg,fourier_valid,f_est_hz,norm_ready,norm_gain_v,norm_gain_i,oc_51_pickup,oc_50_pickup,oc_51_timer_s,oc_51_active,oc_50_trip,oc_51_trip,oc_trip,dist_line_z_ohm,dist_z1_ohm,dist_z2_ohm,dist_line_angle_deg,dist_z_mag_ohm,dist_z_angle_deg,dist_r_ohm,dist_x_ohm,dist_fault_pct,dist_z2_timer_s,dist_z1_trip,dist_z2_trip,dist_trip,dir67_direction,dir67_angle_deg,dir67_window_deg,dir67_power_w,dir67_prefault_power_w,dir67_power_min_w,dir67_permit,dir67_block_active,uv_pickup,ov_pickup,uv_timer_s,ov_timer_s,uv_trip,ov_trip,voltage_trip_code,cycle_id,cycle_update,quality_flags
28.951091766,28951092,4811,2289,2187,27846.869140625,-2150.974121094,182897.328125000,2386.171142578,-47.082092,133.555237,-179.362671,1,60.734894,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,76.648872375,179.362671,-76.644126892,0.852591515,147.048309326,0.000000000,0,0,0,forward,86.636002,90.000000,-436397312.000000000,-436397312.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,205,1,0
28.967544556,28967544,4834,2263,2208,2988.883544922,-1956.490600586,184281.734375000,2379.740966797,-51.848236,128.689148,-179.462616,1,60.782883,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,77.437728882,179.462616,-77.434326172,0.726282477,148.561706543,0.000000000,0,0,0,forward,86.636002,90.000000,-438523488.000000000,-438523488.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,206,1,0
28.984699249,28984701,4858,2370,2154,103378.054687500,-2476.386718750,187432.921875000,2373.199707031,-53.358353,132.673645,-173.968018,1,58.285248,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,78.978996277,173.968018,-78.541717529,8.299394608,151.518569946,0.000000000,0,0,0,forward,86.636002,90.000000,-442352960.000000000,-442352960.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,207,1,0
29.001171112,29001173,4881,2283,2177,21177.064453125,-2262.058593750,186555.406250000,2367.958984375,-47.026245,134.746307,-178.227448,1,60.709084,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,78.783210754,178.227448,-78.745513916,2.436917067,151.142959595,0.000000000,0,0,0,forward,86.636002,90.000000,-441544160.000000000,-441544160.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,208,1,0
29.018331528,29018333,4905,2465,2136,192306.125000000,-2656.996093750,183750.765625000,2362.937011719,-46.902008,139.090576,-174.007416,1,58.275059,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,77.763717651,174.007416,-77.338768005,8.118512154,149.187103271,0.000000000,0,0,0,forward,86.636002,90.000000,-431818816.000000000,-431818816.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,209,1,0
29.034807205,29034808,4928,2380,2144,112036.031250000,-2585.357666016,185493.843750000,2367.866699219,-40.424210,141.216919,-178.358887,1,60.698029,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,78.337959290,178.358887,-78.305824280,2.243512154,150.288757324,0.000000000,0,0,0,forward,86.636002,90.000000,-439044544.000000000,-439044544.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,210,1,0
29.051254272,29051254,4951,2297,2169,33616.160156250,-2351.142822266,187620.109375000,2382.870117188,-46.007339,136.933167,-177.059509,1,60.805058,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,78.737030029,177.059509,-78.633361816,4.039103985,151.054367065,0.000000000,0,0,0,forward,86.636002,90.000000,-446485728.000000000,-446485728.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,211,1,0
29.068412781,29068411,4975,2468,2117,194352.828125000,-2850.499267578,182285.468750000,2362.178466797,-46.522751,141.007477,-172.469788,1,58.285248,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,77.168373108,172.469788,-76.502868652,10.112833023,148.044937134,0.000000000,0,0,0,forward,86.636002,90.000000,-426877344.000000000,-426877344.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,212,1,0
29.084880829,29084881,4998,2402,2122,131962.390625000,-2806.810546875,180128.218750000,2365.873535156,-41.597748,142.969116,-175.433136,1,60.716454,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,76.136032104,175.433136,-75.894309998,6.062137127,146.064437866,0.000000000,0,0,0,forward,86.636002,90.000000,-424807552.000000000,-424807552.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,213,1,0
29.101339340,29101341,5021,2297,2157,32809.433593750,-2476.614013672,187484.718750000,2395.624023438,-45.149643,138.869263,-175.981079,1,60.753342,1,1.516002059,0.829075456,1428.850708008,1558.746337891,0.000000000,0,0,0,0,52.124961853,41.699970245,62.549957275,86.636002,78.261329651,175.981079,-78.068878174,5.485013008,150.141754150,0.000000000,0,0,0,forward,86.636002,90.000000,-448038464.000000000,-448038464.000000000,10000.000000000,0,0,230622.312500000,281871.718750000,0.000000000,0.000000000,0,0,NONE,214,1,0
