host_t_s,dev_t_s,dev_t_us,seq,adc_34,adc_35,lost_frames_total,bad_checksum_total,desync_total
3.001512059,0.350081000,350081,0,2373,2398,0,0,933
3.002540317,0.350821000,350821,1,2365,2396,0,0,933
3.003538166,0.351520000,351520,2,2372,2394,0,0,933
3.003542077,0.352222000,352222,3,2369,2393,0,0,933
3.004542277,0.352925000,352925,4,2367,2393,0,0,933
3.005520406,0.353628000,353628,5,2370,2394,0,0,933
3.005526922,0.354326000,354326,6,2369,2392,0,0,933
3.006578896,0.355028000,355028,7,2370,2394,0,0,933
3.007517012,0.355732000,355732,8,2369,2395,0,0,933
3.007524994,0.356430000,356430,9,2371,2394,0,0,933
3.008518691,0.357134000,357134,10,2372,2392,0,0,933
3.009583373,0.357839000,357839,11,2371,2391,0,0,933
3.010436988,0.358538000,358538,12,2370,2391,0,0,933
3.010444767,0.359239000,359239,13,2371,2392,0,0,933
3.011575278,0.359940000,359940,14,2373,2388,0,0,933
3.012558193,0.360643000,360643,15,2367,2397,0,0,933
3.012564879,0.361341000,361341,16,2371,2393,0,0,933
3.013495729,0.362047000,362047,17,2370,2384,0,0,933
3.014577643,0.362752000,362752,18,2369,2394,0,0,933
3.014584188,0.363451000,363451,19,2366,2391,0,0,933
3.015435649,0.364154000,364154,20,2367,2393,0,0,933
3.016552782,0.364855000,364855,21,2368,2392,0,0,933
3.017581630,0.365554000,365554,22,2367,2392,0,0,933
3.017588583,0.366256000,366256,23,2364,2387,0,0,933
3.018432539,0.366964000,366964,24,2367,2387,0,0,933
3.019454275,0.367668000,367668,25,2371,2394,0,0,933
3.019461333,0.368367000,368367,26,2369,2394,0,0,933
3.020503676,0.369069000,369069,27,2370,2395,0,0,933
3.021648309,0.369772000,369772,28,2372,2392,0,0,933
3.021655848,0.370471000,370471,29,2367,2390,0,0,933
3.022602166,0.371179000,371179,30,2370,2397,0,0,933
3.023514982,0.371881000,371881,31,2369,2394,0,0,933
3.024585190,0.372580000,372580,32,2369,2393,0,0,933
3.024592082,0.373282000,373282,33,2371,2395,0,0,933
3.025560899,0.373985000,373985,34,2370,2392,0,0,933
3.026484685,0.374688000,374688,35,2372,2395,0,0,933
3.026491175,0.375386000,375386,36,2369,2395,0,0,933
3.027507747,0.376092000,376092,37,2370,2398,0,0,933
3.028440473,0.376795000,376795,38,2368,2394,0,0,933
3.029476977,0.377495000,377495,39,2369,2396,0,0,933
3.029484432,0.378198000,378198,40,2364,2392,0,0,933
3.030591257,0.378900000,378900,41,2368,2389,0,0,933
3.031641794,0.379599000,379599,42,2370,2392,0,0,933
3.031648796,0.380301000,380301,43,2370,2393,0,0,933
3.032592983,0.381008000,381008,44,2370,2392,0,0,933
3.033489698,0.381711000,381711,45,2370,2393,0,0,933
3.033493822,0.382411000,382411,46,2370,2393,0,0,933
3.034510513,0.383114000,383114,47,2369,2394,0,0,933
3.035527161,0.383817000,383817,48,2367,2392,0,0,933
3.036468498,0.384515000,384515,49,2370,2393,0,0,933
3.036478129,0.385217000,385217,50,2369,2390,0,0,933
3.037463591,0.385922000,385922,51,2365,2394,0,0,933
